    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:43
    Symbol: ACN
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9607.17
    Profit/Loss: $-392.83 (-3.93%)
    Stop Loss Price: 0.52
    Total Trades: 18
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:42  1     BUY        $386.16       25        
    2025-02-21 00:38:42  2     SELL       $386.80       25        
    2025-02-21 00:38:42  3     BUY        $387.28       25        
    2025-02-21 00:38:42  4     SELL       $386.71       25        
    2025-02-21 00:38:42  5     BUY        $388.01       25        
    2025-02-21 00:38:42  6     SELL       $387.48       25        
    2025-02-21 00:38:42  7     BUY        $389.24       25        
    2025-02-21 00:38:42  8     SELL       $389.81       25        
    2025-02-21 00:38:42  9     BUY        $388.08       25        
    2025-02-21 00:38:42  10    SELL       $384.27       25        
    2025-02-21 00:38:42  11    BUY        $383.85       25        
    2025-02-21 00:38:42  12    SELL       $383.13       25        
    2025-02-21 00:38:42  13    BUY        $384.64       25        
    2025-02-21 00:38:42  14    SELL       $384.01       25        
    2025-02-21 00:38:42  15    BUY        $387.48       25        
    2025-02-21 00:38:42  16    SELL       $385.09       25        
    2025-02-21 00:38:42  17    BUY        $390.51       24        
    2025-02-21 00:38:42  18    SELL       $389.39       24        

    ==============================
