    === Trading Simulation Log ===
    Date: 2025-02-21 00:42:47
    Symbol: AEE
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9833.61
    Profit/Loss: $-166.39 (-1.66%)
    Stop Loss Price: 0.13
    Total Trades: 13
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:42:46  1     BUY        $98.89        101       
    2025-02-21 00:42:46  2     SELL       $98.61        101       
    2025-02-21 00:42:46  3     BUY        $98.03        101       
    2025-02-21 00:42:46  4     SELL       $97.92        101       
    2025-02-21 00:42:46  5     BUY        $97.80        101       
    2025-02-21 00:42:46  6     SELL       $98.08        101       
    2025-02-21 00:42:46  7     BUY        $98.25        100       
    2025-02-21 00:42:46  8     SELL       $98.29        100       
    2025-02-21 00:42:47  9     BUY        $97.39        101       
    2025-02-21 00:42:47  10    SELL       $97.25        101       
    2025-02-21 00:42:47  11    BUY        $97.01        101       
    2025-02-21 00:42:47  12    SELL       $96.87        101       
    2025-02-21 00:42:47  13    BUY        $97.23        101       

    ==============================
