    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:58
    Symbol: AEM
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9627.88
    Profit/Loss: $-372.12 (-3.72%)
    Stop Loss Price: 0.15
    Total Trades: 18
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:58  1     BUY        $99.99        99        
    2025-02-21 00:44:58  2     SELL       $99.80        99        
    2025-02-21 00:44:58  3     BUY        $100.70       98        
    2025-02-21 00:44:58  4     SELL       $99.49        98        
    2025-02-21 00:44:58  5     BUY        $96.57        101       
    2025-02-21 00:44:58  6     SELL       $96.42        101       
    2025-02-21 00:44:58  7     BUY        $96.04        101       
    2025-02-21 00:44:58  8     SELL       $95.87        101       
    2025-02-21 00:44:58  9     BUY        $96.71        100       
    2025-02-21 00:44:58  10    SELL       $95.44        100       
    2025-02-21 00:44:58  11    BUY        $97.75        98        
    2025-02-21 00:44:58  12    SELL       $97.57        98        
    2025-02-21 00:44:58  13    BUY        $98.62        96        
    2025-02-21 00:44:58  14    SELL       $98.48        96        
    2025-02-21 00:44:58  15    BUY        $98.09        97        
    2025-02-21 00:44:58  16    SELL       $98.93        97        
    2025-02-21 00:44:58  17    BUY        $98.50        97        
    2025-02-21 00:44:58  18    SELL       $99.05        97        

    ==============================
