    === Trading Simulation Log ===
    Date: 2025-02-21 00:40:55
    Symbol: AFL
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9763.36
    Profit/Loss: $-236.64 (-2.37%)
    Stop Loss Price: 0.11
    Total Trades: 13
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:40:54  1     BUY        $103.29       96        
    2025-02-21 00:40:54  2     SELL       $103.25       96        
    2025-02-21 00:40:55  3     BUY        $104.09       95        
    2025-02-21 00:40:55  4     SELL       $103.93       95        
    2025-02-21 00:40:55  5     BUY        $104.50       95        
    2025-02-21 00:40:55  6     SELL       $104.68       95        
    2025-02-21 00:40:55  7     BUY        $103.57       95        
    2025-02-21 00:40:55  8     SELL       $103.38       95        
    2025-02-21 00:40:55  9     BUY        $104.16       94        
    2025-02-21 00:40:55  10    SELL       $103.88       94        
    2025-02-21 00:40:55  11    BUY        $104.59       94        
    2025-02-21 00:40:55  12    SELL       $103.95       94        
    2025-02-21 00:40:55  13    BUY        $104.31       93        

    ==============================
