    === Trading Simulation Log ===
    Date: 2025-02-21 00:42:34
    Symbol: ALB
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9722.09
    Profit/Loss: $-277.91 (-2.78%)
    Stop Loss Price: 0.26
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:42:34  1     BUY        $79.34        125       
    2025-02-21 00:42:34  2     SELL       $79.22        125       
    2025-02-21 00:42:34  3     BUY        $78.96        126       
    2025-02-21 00:42:34  4     SELL       $78.82        126       
    2025-02-21 00:42:34  5     BUY        $79.16        125       
    2025-02-21 00:42:34  6     SELL       $81.04        125       
    2025-02-21 00:42:34  7     BUY        $81.54        124       
    2025-02-21 00:42:34  8     SELL       $81.38        124       
    2025-02-21 00:42:34  9     BUY        $81.45        123       
    2025-02-21 00:42:34  10    SELL       $81.19        123       
    2025-02-21 00:42:34  11    BUY        $83.68        119       
    2025-02-21 00:42:34  12    SELL       $81.48        119       
    2025-02-21 00:42:34  13    BUY        $83.57        116       
    2025-02-21 00:42:34  14    SELL       $83.34        116       

    ==============================
