    === Trading Simulation Log ===
    Date: 2025-02-21 00:40:56
    Symbol: ALL
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9839.82
    Profit/Loss: $-160.18 (-1.60%)
    Stop Loss Price: 0.37
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:40:55  1     BUY        $190.06       52        
    2025-02-21 00:40:56  2     SELL       $189.98       52        
    2025-02-21 00:40:56  3     BUY        $192.75       51        
    2025-02-21 00:40:56  4     SELL       $192.10       51        
    2025-02-21 00:40:56  5     BUY        $190.60       52        
    2025-02-21 00:40:56  6     SELL       $190.02       52        
    2025-02-21 00:40:56  7     BUY        $189.95       51        
    2025-02-21 00:40:56  8     SELL       $189.46       51        
    2025-02-21 00:40:56  9     BUY        $187.68       52        
    2025-02-21 00:40:56  10    SELL       $189.63       52        
    2025-02-21 00:40:56  11    BUY        $190.07       52        
    2025-02-21 00:40:56  12    SELL       $189.88       52        
    2025-02-21 00:40:56  13    BUY        $188.97       52        
    2025-02-21 00:40:56  14    SELL       $188.59       52        

    ==============================
