    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:05
    Symbol: AMD
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9925.88
    Profit/Loss: $-74.12 (-0.74%)
    Stop Loss Price: 0.38
    Total Trades: 29
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:05  1     BUY        $113.40       88        
    2025-02-21 00:39:05  2     SELL       $113.85       88        
    2025-02-21 00:39:05  3     BUY        $113.57       88        
    2025-02-21 00:39:05  4     SELL       $113.17       88        
    2025-02-21 00:39:05  5     BUY        $112.86       88        
    2025-02-21 00:39:05  6     SELL       $112.48       88        
    2025-02-21 00:39:05  7     BUY        $111.55       88        
    2025-02-21 00:39:05  8     SELL       $111.15       88        
    2025-02-21 00:39:05  9     BUY        $111.78       88        
    2025-02-21 00:39:05  10    SELL       $113.63       88        
    2025-02-21 00:39:05  11    BUY        $113.98       87        
    2025-02-21 00:39:05  12    SELL       $113.77       87        
    2025-02-21 00:39:05  13    BUY        $113.13       87        
    2025-02-21 00:39:05  14    SELL       $112.79       87        
    2025-02-21 00:39:05  15    BUY        $113.07       87        
    2025-02-21 00:39:05  16    SELL       $114.75       87        
    2025-02-21 00:39:05  17    BUY        $114.43       87        
    2025-02-21 00:39:05  18    SELL       $113.79       87        
    2025-02-21 00:39:05  19    BUY        $114.01       87        
    2025-02-21 00:39:05  20    SELL       $113.89       87        
    2025-02-21 00:39:05  21    BUY        $114.07       86        
    2025-02-21 00:39:05  22    SELL       $113.46       86        
    2025-02-21 00:39:05  23    BUY        $114.44       86        
    2025-02-21 00:39:05  24    SELL       $114.23       86        
    2025-02-21 00:39:05  25    BUY        $115.09       85        
    2025-02-21 00:39:05  26    SELL       $115.38       85        
    2025-02-21 00:39:05  27    BUY        $114.78       85        
    2025-02-21 00:39:05  28    SELL       $115.63       85        
    2025-02-21 00:39:05  29    BUY        $113.44       86        

    ==============================
