
    === Trading Simulation Log ===
    Date: 2025-02-20 01:05:19
    Symbol: APTO
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $4649.53
    Profit/Loss: $-5350.47 (-53.50%)
    Stop Loss Price: 0.00
    Total Trades: 93
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.18         55747     
2     SELL       $0.18         55747     
3     BUY        $0.18         54426     
4     SELL       $0.18         54426     
5     BUY        $0.18         53947     
6     SELL       $0.18         53947     
7     BUY        $0.18         52757     
8     SELL       $0.18         52757     
9     BUY        $0.18         50761     
10    SELL       $0.18         50761     
11    BUY        $0.18         50291     
12    SELL       $0.18         50291     
13    BUY        $0.18         49813     
14    SELL       $0.18         49813     
15    BUY        $0.18         48954     
16    SELL       $0.18         48954     
17    BUY        $0.18         47921     
18    SELL       $0.18         47921     
19    BUY        $0.18         46445     
20    SELL       $0.18         46445     
21    BUY        $0.18         45628     
22    SELL       $0.18         45628     
23    BUY        $0.18         45145     
24    SELL       $0.18         45145     
25    BUY        $0.18         44345     
26    SELL       $0.18         44345     
27    BUY        $0.18         42846     
28    SELL       $0.18         42846     
29    BUY        $0.18         41711     
30    SELL       $0.18         41711     
31    BUY        $0.18         41181     
32    SELL       $0.18         41181     
33    BUY        $0.18         40816     
34    SELL       $0.18         40816     
35    BUY        $0.18         39423     
36    SELL       $0.18         39423     
37    BUY        $0.18         38682     
38    SELL       $0.18         38682     
39    BUY        $0.21         32708     
40    SELL       $0.21         32708     
41    BUY        $0.21         32377     
42    SELL       $0.21         32377     
43    BUY        $0.21         32591     
44    SELL       $0.23         32591     
45    BUY        $0.24         31490     
46    SELL       $0.23         31490     
47    BUY        $0.22         32387     
48    SELL       $0.22         32387     
49    BUY        $0.22         33011     
50    SELL       $0.22         33011     
51    BUY        $0.22         32827     
52    SELL       $0.24         32827     
53    BUY        $0.24         33322     
54    SELL       $0.25         33322     
55    BUY        $0.25         33241     
56    SELL       $0.25         33241     
57    BUY        $0.25         33133     
58    SELL       $0.24         33133     
59    BUY        $0.23         34591     
60    SELL       $0.23         34591     
61    BUY        $0.23         34429     
62    SELL       $0.23         34429     
63    BUY        $0.23         33985     
64    SELL       $0.22         33985     
65    BUY        $0.23         33127     
66    SELL       $0.23         33127     
67    BUY        $0.23         32637     
68    SELL       $0.23         32637     
69    BUY        $0.23         32025     
70    SELL       $0.22         32025     
71    BUY        $0.20         34786     
72    SELL       $0.20         34786     
73    BUY        $0.20         35373     
74    SELL       $0.18         35373     
75    BUY        $0.17         36290     
76    SELL       $0.17         36290     
77    BUY        $0.17         35822     
78    SELL       $0.17         35822     
79    BUY        $0.17         35236     
80    SELL       $0.17         35236     
81    BUY        $0.18         34540     
82    SELL       $0.17         34540     
83    BUY        $0.18         33591     
84    SELL       $0.17         33591     
85    BUY        $0.18         32720     
86    SELL       $0.17         32720     
87    BUY        $0.18         31550     
88    SELL       $0.18         31550     
89    BUY        $0.18         31226     
90    SELL       $0.18         31226     
91    BUY        $0.18         30693     
92    SELL       $0.15         30693     
93    BUY        $0.14         31867     

    ==============================
    
