    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:30
    Symbol: BAC
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9664.44
    Profit/Loss: $-335.56 (-3.36%)
    Stop Loss Price: 0.07
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:29  1     BUY        $46.58        214       
    2025-02-21 00:38:29  2     SELL       $46.92        214       
    2025-02-21 00:38:29  3     BUY        $46.40        216       
    2025-02-21 00:38:29  4     SELL       $46.31        216       
    2025-02-21 00:38:29  5     BUY        $46.54        214       
    2025-02-21 00:38:29  6     SELL       $45.88        214       
    2025-02-21 00:38:30  7     BUY        $45.83        214       
    2025-02-21 00:38:30  8     SELL       $45.76        214       
    2025-02-21 00:38:30  9     BUY        $46.03        213       
    2025-02-21 00:38:30  10    SELL       $46.03        213       
    2025-02-21 00:38:30  11    BUY        $46.00        212       
    2025-02-21 00:38:30  12    SELL       $45.83        212       
    2025-02-21 00:38:30  13    BUY        $45.62        213       
    2025-02-21 00:38:30  14    SELL       $45.48        213       
    2025-02-21 00:38:30  15    BUY        $45.28        213       
    2025-02-21 00:38:30  16    SELL       $45.26        213       

    ==============================
