    === Trading Simulation Log ===
    Date: 2025-02-21 02:06:07
    Symbol: BOIL
    Period: 1d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9408.58
    Profit/Loss: $-591.42 (-5.91%)
    Stop Loss Price: 0.30
    Total Trades: 37
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 02:06:07  1     BUY        $88.36        113       
    2025-02-21 02:06:07  2     SELL       $88.07        113       
    2025-02-21 02:06:07  3     BUY        $88.72        112       
    2025-02-21 02:06:07  4     SELL       $88.27        112       
    2025-02-21 02:06:07  5     BUY        $88.58        111       
    2025-02-21 02:06:07  6     SELL       $88.10        111       
    2025-02-21 02:06:07  7     BUY        $88.64        110       
    2025-02-21 02:06:07  8     SELL       $88.48        110       
    2025-02-21 02:06:07  9     BUY        $88.25        110       
    2025-02-21 02:06:07  10    SELL       $87.53        110       
    2025-02-21 02:06:07  11    BUY        $86.77        111       
    2025-02-21 02:06:07  12    SELL       $86.45        111       
    2025-02-21 02:06:07  13    BUY        $86.77        110       
    2025-02-21 02:06:07  14    SELL       $86.14        110       
    2025-02-21 02:06:07  15    BUY        $86.30        110       
    2025-02-21 02:06:07  16    SELL       $85.83        110       
    2025-02-21 02:06:07  17    BUY        $85.70        110       
    2025-02-21 02:06:07  18    SELL       $85.49        110       
    2025-02-21 02:06:07  19    BUY        $86.00        109       
    2025-02-21 02:06:07  20    SELL       $85.82        109       
    2025-02-21 02:06:07  21    BUY        $85.89        108       
    2025-02-21 02:06:07  22    SELL       $85.47        108       
    2025-02-21 02:06:07  23    BUY        $85.37        108       
    2025-02-21 02:06:07  24    SELL       $85.12        108       
    2025-02-21 02:06:07  25    BUY        $85.36        108       
    2025-02-21 02:06:07  26    SELL       $84.91        108       
    2025-02-21 02:06:07  27    BUY        $85.23        107       
    2025-02-21 02:06:07  28    SELL       $85.63        107       
    2025-02-21 02:06:07  29    BUY        $85.65        107       
    2025-02-21 02:06:07  30    SELL       $87.63        107       
    2025-02-21 02:06:07  31    BUY        $87.73        107       
    2025-02-21 02:06:07  32    SELL       $87.52        107       
    2025-02-21 02:06:07  33    BUY        $87.70        106       
    2025-02-21 02:06:07  34    SELL       $87.57        106       
    2025-02-21 02:06:07  35    BUY        $87.85        106       
    2025-02-21 02:06:07  36    SELL       $88.90        106       
    2025-02-21 02:06:07  37    BUY        $88.72        106       

    ==============================
