    === Trading Simulation Log ===
    Date: 2025-02-21 00:43:46
    Symbol: CLF
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9573.77
    Profit/Loss: $-426.23 (-4.26%)
    Stop Loss Price: 0.08
    Total Trades: 20
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:43:46  1     BUY        $10.98        909       
    2025-02-21 00:43:46  2     SELL       $10.90        909       
    2025-02-21 00:43:46  3     BUY        $11.22        882       
    2025-02-21 00:43:46  4     SELL       $11.14        882       
    2025-02-21 00:43:46  5     BUY        $11.27        869       
    2025-02-21 00:43:46  6     SELL       $11.47        869       
    2025-02-21 00:43:46  7     BUY        $11.52        864       
    2025-02-21 00:43:46  8     SELL       $11.67        864       
    2025-02-21 00:43:46  9     BUY        $11.85        849       
    2025-02-21 00:43:46  10    SELL       $11.83        849       
    2025-02-21 00:43:46  11    BUY        $12.01        835       
    2025-02-21 00:43:46  12    SELL       $11.93        835       
    2025-02-21 00:43:46  13    BUY        $12.02        826       
    2025-02-21 00:43:46  14    SELL       $11.92        826       
    2025-02-21 00:43:46  15    BUY        $12.01        818       
    2025-02-21 00:43:46  16    SELL       $11.93        818       
    2025-02-21 00:43:46  17    BUY        $12.17        800       
    2025-02-21 00:43:46  18    SELL       $12.08        800       
    2025-02-21 00:43:46  19    BUY        $12.12        796       
    2025-02-21 00:43:46  20    SELL       $12.03        796       

    ==============================
