
    === Trading Simulation Log ===
    Date: 2025-02-20 01:05:12
    Symbol: CNSP
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $7344.53
    Profit/Loss: $-2655.47 (-26.55%)
    Stop Loss Price: 0.00
    Total Trades: 103
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.09         107883    
2     SELL       $0.09         107883    
3     BUY        $0.09         107324    
4     SELL       $0.09         107324    
5     BUY        $0.09         105511    
6     SELL       $0.09         105511    
7     BUY        $0.09         105634    
8     SELL       $0.09         105634    
9     BUY        $0.10         103980    
10    SELL       $0.09         103980    
11    BUY        $0.10         101499    
12    SELL       $0.10         101499    
13    BUY        $0.10         100444    
14    SELL       $0.10         100444    
15    BUY        $0.10         99467     
16    SELL       $0.10         99467     
17    BUY        $0.10         98785     
18    SELL       $0.10         98785     
19    BUY        $0.11         97373     
20    SELL       $0.10         97373     
21    BUY        $0.11         95618     
22    SELL       $0.11         95618     
23    BUY        $0.11         94708     
24    SELL       $0.11         94708     
25    BUY        $0.11         94364     
26    SELL       $0.11         94364     
27    BUY        $0.11         90494     
28    SELL       $0.12         90494     
29    BUY        $0.12         89699     
30    SELL       $0.11         89699     
31    BUY        $0.12         88056     
32    SELL       $0.11         88056     
33    BUY        $0.11         93574     
34    SELL       $0.11         93574     
35    BUY        $0.11         91648     
36    SELL       $0.11         91648     
37    BUY        $0.11         89692     
38    SELL       $0.11         89692     
39    BUY        $0.11         86958     
40    SELL       $0.11         86958     
41    BUY        $0.11         86933     
42    SELL       $0.10         86933     
43    BUY        $0.11         85843     
44    SELL       $0.12         85843     
45    BUY        $0.12         85819     
46    SELL       $0.12         85819     
47    BUY        $0.12         84995     
48    SELL       $0.12         84995     
49    BUY        $0.12         82684     
50    SELL       $0.12         82684     
51    BUY        $0.12         80998     
52    SELL       $0.12         80998     
53    BUY        $0.12         80833     
54    SELL       $0.12         80833     
55    BUY        $0.12         78755     
56    SELL       $0.12         78755     
57    BUY        $0.12         77300     
58    SELL       $0.12         77300     
59    BUY        $0.12         76378     
60    SELL       $0.12         76378     
61    BUY        $0.11         85142     
62    SELL       $0.11         85142     
63    BUY        $0.11         84640     
64    SELL       $0.11         84640     
65    BUY        $0.17         54378     
66    SELL       $0.16         54378     
67    BUY        $0.16         53378     
68    SELL       $0.16         53378     
69    BUY        $0.17         50717     
70    SELL       $0.18         50717     
71    BUY        $0.17         52063     
72    SELL       $0.17         52063     
73    BUY        $0.17         51056     
74    SELL       $0.17         51056     
75    BUY        $0.17         52109     
76    SELL       $0.17         52109     
77    BUY        $0.16         54085     
78    SELL       $0.16         54085     
79    BUY        $0.17         50930     
80    SELL       $0.17         50930     
81    BUY        $0.17         50052     
82    SELL       $0.17         50052     
83    BUY        $0.17         49043     
84    SELL       $0.17         49043     
85    BUY        $0.17         48662     
86    SELL       $0.17         48662     
87    BUY        $0.16         49190     
88    SELL       $0.16         49190     
89    BUY        $0.14         56370     
90    SELL       $0.14         56370     
91    BUY        $0.14         56106     
92    SELL       $0.14         56106     
93    BUY        $0.14         54584     
94    SELL       $0.14         54584     
95    BUY        $0.14         56775     
96    SELL       $0.13         56775     
97    BUY        $0.14         53977     
98    SELL       $0.14         53977     
99    BUY        $0.10         77710     
100   SELL       $0.10         77710     
101   BUY        $0.09         78820     
102   SELL       $0.09         78820     
103   BUY        $0.08         87748     

    ==============================
    
