    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:36
    Symbol: CSCO
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9692.60
    Profit/Loss: $-307.40 (-3.07%)
    Stop Loss Price: 0.17
    Total Trades: 15
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:35  1     BUY        $63.35        157       
    2025-02-21 00:38:35  2     SELL       $63.14        157       
    2025-02-21 00:38:35  3     BUY        $63.51        156       
    2025-02-21 00:38:35  4     SELL       $63.27        156       
    2025-02-21 00:38:35  5     BUY        $64.02        154       
    2025-02-21 00:38:35  6     SELL       $63.79        154       
    2025-02-21 00:38:35  7     BUY        $63.94        153       
    2025-02-21 00:38:35  8     SELL       $63.69        153       
    2025-02-21 00:38:35  9     BUY        $64.82        150       
    2025-02-21 00:38:35  10    SELL       $65.22        150       
    2025-02-21 00:38:35  11    BUY        $66.12        148       
    2025-02-21 00:38:35  12    SELL       $65.83        148       
    2025-02-21 00:38:35  13    BUY        $65.02        149       
    2025-02-21 00:38:35  14    SELL       $64.79        149       
    2025-02-21 00:38:36  15    BUY        $64.64        149       

    ==============================
