    === Trading Simulation Log ===
    Date: 2025-02-21 00:40:50
    Symbol: CTAS
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9796.62
    Profit/Loss: $-203.38 (-2.03%)
    Stop Loss Price: 0.27
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:40:50  1     BUY        $206.26       48        
    2025-02-21 00:40:50  2     SELL       $205.76       48        
    2025-02-21 00:40:50  3     BUY        $206.95       48        
    2025-02-21 00:40:50  4     SELL       $206.50       48        
    2025-02-21 00:40:50  5     BUY        $203.72       48        
    2025-02-21 00:40:50  6     SELL       $204.73       48        
    2025-02-21 00:40:50  7     BUY        $205.49       48        
    2025-02-21 00:40:50  8     SELL       $205.08       48        
    2025-02-21 00:40:50  9     BUY        $206.04       48        
    2025-02-21 00:40:50  10    SELL       $205.76       48        
    2025-02-21 00:40:50  11    BUY        $205.99       47        
    2025-02-21 00:40:50  12    SELL       $205.48       47        
    2025-02-21 00:40:50  13    BUY        $207.50       47        
    2025-02-21 00:40:50  14    SELL       $207.32       47        

    ==============================
