    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:21
    Symbol: DE
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9889.66
    Profit/Loss: $-110.34 (-1.10%)
    Stop Loss Price: 0.89
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:21  1     BUY        $471.15       21        
    2025-02-21 00:39:21  2     SELL       $472.06       21        
    2025-02-21 00:39:21  3     BUY        $472.95       21        
    2025-02-21 00:39:21  4     SELL       $470.92       21        
    2025-02-21 00:39:21  5     BUY        $477.98       20        
    2025-02-21 00:39:21  6     SELL       $478.46       20        
    2025-02-21 00:39:21  7     BUY        $478.66       20        
    2025-02-21 00:39:21  8     SELL       $477.34       20        
    2025-02-21 00:39:21  9     BUY        $480.47       20        
    2025-02-21 00:39:21  10    SELL       $489.42       20        
    2025-02-21 00:39:21  11    BUY        $508.51       19        
    2025-02-21 00:39:21  12    SELL       $508.41       19        
    2025-02-21 00:39:21  13    BUY        $510.90       19        
    2025-02-21 00:39:21  14    SELL       $509.98       19        
    2025-02-21 00:39:21  15    BUY        $509.24       19        
    2025-02-21 00:39:21  16    SELL       $505.57       19        

    ==============================
