    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:34
    Symbol: DIS
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9725.76
    Profit/Loss: $-274.24 (-2.74%)
    Stop Loss Price: 0.15
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:34  1     BUY        $109.56       91        
    2025-02-21 00:38:34  2     SELL       $109.67       91        
    2025-02-21 00:38:34  3     BUY        $110.37       90        
    2025-02-21 00:38:34  4     SELL       $109.55       90        
    2025-02-21 00:38:34  5     BUY        $109.65       90        
    2025-02-21 00:38:34  6     SELL       $109.60       90        
    2025-02-21 00:38:34  7     BUY        $109.55       90        
    2025-02-21 00:38:34  8     SELL       $109.81       90        
    2025-02-21 00:38:34  9     BUY        $111.00       88        
    2025-02-21 00:38:34  10    SELL       $111.01       88        
    2025-02-21 00:38:34  11    BUY        $111.34       88        
    2025-02-21 00:38:34  12    SELL       $111.08       88        
    2025-02-21 00:38:34  13    BUY        $111.29       88        
    2025-02-21 00:38:34  14    SELL       $111.07       88        
    2025-02-21 00:38:34  15    BUY        $111.42       87        
    2025-02-21 00:38:34  16    SELL       $111.10       87        

    ==============================
