    === Trading Simulation Log ===
    Date: 2025-02-21 00:42:30
    Symbol: DTE
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9733.34
    Profit/Loss: $-266.66 (-2.67%)
    Stop Loss Price: 0.20
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:42:29  1     BUY        $127.35       78        
    2025-02-21 00:42:29  2     SELL       $127.33       78        
    2025-02-21 00:42:29  3     BUY        $127.69       78        
    2025-02-21 00:42:29  4     SELL       $127.43       78        
    2025-02-21 00:42:29  5     BUY        $127.79       77        
    2025-02-21 00:42:29  6     SELL       $127.56       77        
    2025-02-21 00:42:29  7     BUY        $129.71       76        
    2025-02-21 00:42:29  8     SELL       $129.82       76        
    2025-02-21 00:42:29  9     BUY        $129.36       76        
    2025-02-21 00:42:29  10    SELL       $129.02       76        
    2025-02-21 00:42:29  11    BUY        $129.58       75        
    2025-02-21 00:42:29  12    SELL       $129.05       75        
    2025-02-21 00:42:30  13    BUY        $130.34       74        
    2025-02-21 00:42:30  14    SELL       $129.92       74        

    ==============================
