    === Trading Simulation Log ===
    Date: 2025-02-21 00:41:32
    Symbol: FCX
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10241.48
    Profit/Loss: $241.48 (2.41%)
    Stop Loss Price: 0.16
    Total Trades: 13
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:41:32  1     BUY        $38.77        257       
    2025-02-21 00:41:32  2     SELL       $38.97        257       
    2025-02-21 00:41:32  3     BUY        $39.05        256       
    2025-02-21 00:41:32  4     SELL       $40.05        256       
    2025-02-21 00:41:32  5     BUY        $40.42        253       
    2025-02-21 00:41:32  6     SELL       $40.46        253       
    2025-02-21 00:41:32  7     BUY        $39.88        257       
    2025-02-21 00:41:32  8     SELL       $39.70        257       
    2025-02-21 00:41:32  9     BUY        $39.12        260       
    2025-02-21 00:41:32  10    SELL       $39.21        260       
    2025-02-21 00:41:32  11    BUY        $39.02        261       
    2025-02-21 00:41:32  12    SELL       $39.31        261       
    2025-02-21 00:41:32  13    BUY        $38.97        262       

    ==============================
