
    === Trading Simulation Log ===
    Date: 2025-02-20 00:00:42
    Symbol: FFIE
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $11139.73
    Profit/Loss: $1139.73 (11.40%)
    Stop Loss Price: 0.02
    Total Trades: 81
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $1.32         7575      
2     SELL       $1.31         7575      
3     BUY        $1.32         7518      
4     SELL       $1.30         7518      
5     BUY        $1.32         7407      
6     SELL       $1.30         7407      
7     BUY        $1.35         7130      
8     SELL       $1.40         7130      
9     BUY        $1.40         7123      
10    SELL       $1.43         7123      
11    BUY        $1.41         7224      
12    SELL       $1.49         7224      
13    BUY        $1.47         7298      
14    SELL       $1.45         7298      
15    BUY        $1.48         7150      
16    SELL       $1.46         7150      
17    BUY        $1.49         7006      
18    SELL       $1.52         7006      
19    BUY        $1.53         6976      
20    SELL       $1.49         6976      
21    BUY        $1.52         6816      
22    SELL       $1.50         6816      
23    BUY        $1.50         6829      
24    SELL       $1.48         6829      
25    BUY        $1.48         6815      
26    SELL       $1.44         6815      
27    BUY        $1.47         6699      
28    SELL       $1.44         6699      
29    BUY        $1.44         6699      
30    SELL       $1.42         6699      
31    BUY        $1.44         6617      
32    SELL       $1.42         6617      
33    BUY        $1.44         6525      
34    SELL       $1.42         6525      
35    BUY        $1.45         6393      
36    SELL       $1.43         6393      
37    BUY        $1.45         6311      
38    SELL       $1.61         6311      
39    BUY        $1.61         6311      
40    SELL       $1.63         6311      
41    BUY        $1.63         6311      
42    SELL       $1.65         6311      
43    BUY        $1.65         6294      
44    SELL       $1.60         6294      
45    BUY        $1.63         6192      
46    SELL       $1.73         6192      
47    BUY        $1.72         6210      
48    SELL       $1.68         6210      
49    BUY        $1.74         6013      
50    SELL       $1.71         6013      
51    BUY        $1.68         6120      
52    SELL       $1.66         6120      
53    BUY        $1.69         6013      
54    SELL       $1.67         6013      
55    BUY        $1.68         5964      
56    SELL       $1.75         5964      
57    BUY        $1.75         5951      
58    SELL       $1.76         5951      
59    BUY        $1.75         6002      
60    SELL       $1.94         6002      
61    BUY        $1.87         6227      
62    SELL       $1.84         6227      
63    BUY        $1.86         6160      
64    SELL       $1.84         6160      
65    BUY        $1.88         6013      
66    SELL       $1.86         6013      
67    BUY        $1.87         5979      
68    SELL       $1.83         5979      
69    BUY        $1.70         6447      
70    SELL       $1.68         6447      
71    BUY        $1.70         6371      
72    SELL       $1.68         6371      
73    BUY        $1.69         6333      
74    SELL       $1.67         6333      
75    BUY        $1.69         6262      
76    SELL       $1.67         6262      
77    BUY        $1.56         6713      
78    SELL       $1.54         6713      
79    BUY        $1.55         6648      
80    SELL       $1.53         6648      
81    BUY        $1.59         6439      

    ==============================
    
