    === Trading Simulation Log ===
    Date: 2025-02-21 00:43:20
    Symbol: FRT
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9588.17
    Profit/Loss: $-411.83 (-4.12%)
    Stop Loss Price: 0.23
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:43:20  1     BUY        $111.79       89        
    2025-02-21 00:43:20  2     SELL       $110.83       89        
    2025-02-21 00:43:20  3     BUY        $107.22       92        
    2025-02-21 00:43:20  4     SELL       $106.97       92        
    2025-02-21 00:43:20  5     BUY        $106.71       92        
    2025-02-21 00:43:20  6     SELL       $106.36       92        
    2025-02-21 00:43:20  7     BUY        $105.22       93        
    2025-02-21 00:43:20  8     SELL       $104.81       93        
    2025-02-21 00:43:20  9     BUY        $104.90       92        
    2025-02-21 00:43:20  10    SELL       $104.66       92        
    2025-02-21 00:43:20  11    BUY        $104.87       92        
    2025-02-21 00:43:20  12    SELL       $104.51       92        
    2025-02-21 00:43:20  13    BUY        $104.93       91        
    2025-02-21 00:43:20  14    SELL       $104.52       91        

    ==============================
