    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:40
    Symbol: GILD
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9653.95
    Profit/Loss: $-346.05 (-3.46%)
    Stop Loss Price: 0.37
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:39  1     BUY        $105.46       94        
    2025-02-21 00:39:39  2     SELL       $105.01       94        
    2025-02-21 00:39:39  3     BUY        $106.30       93        
    2025-02-21 00:39:39  4     SELL       $105.74       93        
    2025-02-21 00:39:39  5     BUY        $105.41       93        
    2025-02-21 00:39:39  6     SELL       $104.98       93        
    2025-02-21 00:39:39  7     BUY        $105.44       92        
    2025-02-21 00:39:39  8     SELL       $105.39       92        
    2025-02-21 00:39:39  9     BUY        $106.35       91        
    2025-02-21 00:39:39  10    SELL       $105.97       91        
    2025-02-21 00:39:39  11    BUY        $105.63       91        
    2025-02-21 00:39:39  12    SELL       $106.18       91        
    2025-02-21 00:39:40  13    BUY        $107.90       90        
    2025-02-21 00:39:40  14    SELL       $107.44       90        
    2025-02-21 00:39:40  15    BUY        $109.00       88        
    2025-02-21 00:39:40  16    SELL       $108.78       88        

    ==============================
