    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:57
    Symbol: GOLD
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9826.84
    Profit/Loss: $-173.16 (-1.73%)
    Stop Loss Price: 0.08
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:57  1     BUY        $18.43        542       
    2025-02-21 00:44:57  2     SELL       $18.39        542       
    2025-02-21 00:44:57  3     BUY        $18.26        544       
    2025-02-21 00:44:57  4     SELL       $18.18        544       
    2025-02-21 00:44:57  5     BUY        $18.17        544       
    2025-02-21 00:44:57  6     SELL       $18.08        544       
    2025-02-21 00:44:57  7     BUY        $18.30        536       
    2025-02-21 00:44:57  8     SELL       $18.20        536       
    2025-02-21 00:44:57  9     BUY        $18.53        526       
    2025-02-21 00:44:57  10    SELL       $18.75        526       
    2025-02-21 00:44:57  11    BUY        $19.00        518       
    2025-02-21 00:44:57  12    SELL       $18.91        518       
    2025-02-21 00:44:57  13    BUY        $18.90        517       
    2025-02-21 00:44:57  14    SELL       $19.01        517       

    ==============================
