
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:03
    Symbol: HCTI
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $9076.99
    Profit/Loss: $-923.01 (-9.23%)
    Stop Loss Price: 0.00
    Total Trades: 54
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.63         15875     
2     SELL       $0.62         15875     
3     BUY        $0.63         15626     
4     SELL       $0.62         15626     
5     BUY        $0.61         15902     
6     SELL       $0.60         15902     
7     BUY        $0.61         15644     
8     SELL       $0.61         15644     
9     BUY        $0.61         15529     
10    SELL       $0.60         15529     
11    BUY        $0.61         15310     
12    SELL       $0.60         15310     
13    BUY        $0.57         16166     
14    SELL       $0.56         16166     
15    BUY        $0.58         15372     
16    SELL       $0.51         15372     
17    BUY        $0.47         16636     
18    SELL       $0.79         16636     
19    BUY        $0.76         17441     
20    SELL       $0.75         17441     
21    BUY        $0.75         17490     
22    SELL       $0.74         17490     
23    BUY        $0.74         17454     
24    SELL       $0.72         17454     
25    BUY        $0.72         17437     
26    SELL       $0.68         17437     
27    BUY        $0.67         17515     
28    SELL       $0.66         17515     
29    BUY        $0.66         17468     
30    SELL       $0.66         17468     
31    BUY        $0.66         17320     
32    SELL       $0.65         17320     
33    BUY        $0.66         17136     
34    SELL       $0.64         17136     
35    BUY        $0.66         16674     
36    SELL       $0.65         16674     
37    BUY        $0.63         17079     
38    SELL       $0.62         17079     
39    BUY        $0.63         16814     
40    SELL       $0.63         16814     
41    BUY        $0.63         16647     
42    SELL       $0.63         16647     
43    BUY        $0.64         16243     
44    SELL       $0.62         16243     
45    BUY        $0.57         17814     
46    SELL       $0.56         17814     
47    BUY        $0.56         17907     
48    SELL       $0.55         17907     
49    BUY        $0.45         21774     
50    SELL       $0.44         21774     
51    BUY        $0.46         20942     
52    SELL       $0.45         20942     
53    BUY        $0.45         20587     
54    SELL       $0.44         20587     

    ==============================
    
