    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:47
    Symbol: HL
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9992.99
    Profit/Loss: $-7.01 (-0.07%)
    Stop Loss Price: 0.03
    Total Trades: 18
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:47  1     BUY        $6.32         1581      
    2025-02-21 00:44:47  2     SELL       $6.28         1581      
    2025-02-21 00:44:47  3     BUY        $6.28         1580      
    2025-02-21 00:44:47  4     SELL       $6.24         1580      
    2025-02-21 00:44:47  5     BUY        $6.26         1570      
    2025-02-21 00:44:47  6     SELL       $6.23         1570      
    2025-02-21 00:44:47  7     BUY        $6.26         1559      
    2025-02-21 00:44:47  8     SELL       $6.28         1559      
    2025-02-21 00:44:47  9     BUY        $5.49         1779      
    2025-02-21 00:44:47  10    SELL       $5.44         1779      
    2025-02-21 00:44:47  11    BUY        $5.64         1712      
    2025-02-21 00:44:47  12    SELL       $5.59         1712      
    2025-02-21 00:44:47  13    BUY        $5.58         1708      
    2025-02-21 00:44:47  14    SELL       $5.58         1708      
    2025-02-21 00:44:47  15    BUY        $5.43         1750      
    2025-02-21 00:44:47  16    SELL       $5.72         1750      
    2025-02-21 00:44:47  17    BUY        $5.75         1738      
    2025-02-21 00:44:47  18    SELL       $5.76         1738      

    ==============================
