    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:49
    Symbol: INTC
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10353.71
    Profit/Loss: $353.71 (3.54%)
    Stop Loss Price: 0.23
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:48  1     BUY        $24.25        411       
    2025-02-21 00:38:48  2     SELL       $24.30        411       
    2025-02-21 00:38:48  3     BUY        $24.40        409       
    2025-02-21 00:38:48  4     SELL       $24.23        409       
    2025-02-21 00:38:48  5     BUY        $24.46        404       
    2025-02-21 00:38:48  6     SELL       $24.49        404       
    2025-02-21 00:38:48  7     BUY        $24.24        408       
    2025-02-21 00:38:48  8     SELL       $23.75        408       
    2025-02-21 00:38:48  9     BUY        $23.61        409       
    2025-02-21 00:38:48  10    SELL       $25.43        409       
    2025-02-21 00:38:48  11    BUY        $25.42        408       
    2025-02-21 00:38:48  12    SELL       $25.90        408       
    2025-02-21 00:38:48  13    BUY        $26.50        398       
    2025-02-21 00:38:49  14    SELL       $27.12        398       
    2025-02-21 00:38:49  15    BUY        $27.23        396       
    2025-02-21 00:38:49  16    SELL       $26.14        396       

    ==============================
