    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:14
    Symbol: ISRG
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9771.88
    Profit/Loss: $-228.12 (-2.28%)
    Stop Loss Price: 0.74
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:14  1     BUY        $593.47       16        
    2025-02-21 00:39:14  2     SELL       $594.68       16        
    2025-02-21 00:39:14  3     BUY        $594.16       16        
    2025-02-21 00:39:14  4     SELL       $590.63       16        
    2025-02-21 00:39:14  5     BUY        $598.40       16        
    2025-02-21 00:39:14  6     SELL       $597.29       16        
    2025-02-21 00:39:14  7     BUY        $598.40       16        
    2025-02-21 00:39:14  8     SELL       $597.46       16        
    2025-02-21 00:39:14  9     BUY        $596.61       16        
    2025-02-21 00:39:14  10    SELL       $595.78       16        
    2025-02-21 00:39:14  11    BUY        $600.75       16        
    2025-02-21 00:39:14  12    SELL       $600.00       16        
    2025-02-21 00:39:14  13    BUY        $605.28       16        
    2025-02-21 00:39:14  14    SELL       $605.72       16        

    ==============================
