    === Trading Simulation Log ===
    Date: 2025-02-21 00:43:30
    Symbol: JNPR
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9668.48
    Profit/Loss: $-331.52 (-3.32%)
    Stop Loss Price: 0.06
    Total Trades: 21
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:43:30  1     BUY        $36.35        274       
    2025-02-21 00:43:30  2     SELL       $36.33        274       
    2025-02-21 00:43:30  3     BUY        $36.31        274       
    2025-02-21 00:43:30  4     SELL       $36.39        274       
    2025-02-21 00:43:30  5     BUY        $36.55        272       
    2025-02-21 00:43:30  6     SELL       $36.46        272       
    2025-02-21 00:43:30  7     BUY        $36.50        271       
    2025-02-21 00:43:30  8     SELL       $36.43        271       
    2025-02-21 00:43:30  9     BUY        $36.68        269       
    2025-02-21 00:43:30  10    SELL       $36.65        269       
    2025-02-21 00:43:30  11    BUY        $36.21        272       
    2025-02-21 00:43:30  12    SELL       $36.14        272       
    2025-02-21 00:43:30  13    BUY        $36.26        270       
    2025-02-21 00:43:30  14    SELL       $36.18        270       
    2025-02-21 00:43:30  15    BUY        $36.19        270       
    2025-02-21 00:43:30  16    SELL       $36.12        270       
    2025-02-21 00:43:30  17    BUY        $36.06        269       
    2025-02-21 00:43:30  18    SELL       $35.99        269       
    2025-02-21 00:43:30  19    BUY        $36.03        269       
    2025-02-21 00:43:30  20    SELL       $36.02        269       
    2025-02-21 00:43:30  21    BUY        $36.08        268       

    ==============================
