    === Trading Simulation Log ===
    Date: 2025-02-21 00:42:53
    Symbol: K
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9850.59
    Profit/Loss: $-149.41 (-1.49%)
    Stop Loss Price: 0.04
    Total Trades: 15
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:42:52  1     BUY        $82.24        121       
    2025-02-21 00:42:52  2     SELL       $82.19        121       
    2025-02-21 00:42:52  3     BUY        $82.24        121       
    2025-02-21 00:42:52  4     SELL       $82.32        121       
    2025-02-21 00:42:52  5     BUY        $82.25        121       
    2025-02-21 00:42:52  6     SELL       $82.14        121       
    2025-02-21 00:42:52  7     BUY        $82.21        120       
    2025-02-21 00:42:52  8     SELL       $82.21        120       
    2025-02-21 00:42:52  9     BUY        $82.25        120       
    2025-02-21 00:42:53  10    SELL       $82.28        120       
    2025-02-21 00:42:53  11    BUY        $82.32        120       
    2025-02-21 00:42:53  12    SELL       $82.42        120       
    2025-02-21 00:42:53  13    BUY        $82.45        119       
    2025-02-21 00:42:53  14    SELL       $82.40        119       
    2025-02-21 00:42:53  15    BUY        $82.44        119       

    ==============================
