    === Trading Simulation Log ===
    Date: 2025-02-21 00:41:47
    Symbol: KEYS
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10011.84
    Profit/Loss: $11.84 (0.12%)
    Stop Loss Price: 0.26
    Total Trades: 18
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:41:47  1     BUY        $179.28       55        
    2025-02-21 00:41:47  2     SELL       $179.99       55        
    2025-02-21 00:41:47  3     BUY        $180.15       55        
    2025-02-21 00:41:47  4     SELL       $181.74       55        
    2025-02-21 00:41:47  5     BUY        $182.03       55        
    2025-02-21 00:41:47  6     SELL       $181.68       55        
    2025-02-21 00:41:47  7     BUY        $182.13       55        
    2025-02-21 00:41:47  8     SELL       $183.90       55        
    2025-02-21 00:41:47  9     BUY        $183.40       55        
    2025-02-21 00:41:47  10    SELL       $184.04       55        
    2025-02-21 00:41:47  11    BUY        $184.18       55        
    2025-02-21 00:41:47  12    SELL       $184.11       55        
    2025-02-21 00:41:47  13    BUY        $184.34       54        
    2025-02-21 00:41:47  14    SELL       $184.10       54        
    2025-02-21 00:41:47  15    BUY        $185.04       54        
    2025-02-21 00:41:47  16    SELL       $184.81       54        
    2025-02-21 00:41:47  17    BUY        $184.37       54        
    2025-02-21 00:41:47  18    SELL       $184.02       54        

    ==============================
