    === Trading Simulation Log ===
    Date: 2025-02-21 00:45:01
    Symbol: KGC
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9404.89
    Profit/Loss: $-595.11 (-5.95%)
    Stop Loss Price: 0.04
    Total Trades: 44
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:45:00  1     BUY        $11.66        856       
    2025-02-21 00:45:00  2     SELL       $11.59        856       
    2025-02-21 00:45:00  3     BUY        $11.53        859       
    2025-02-21 00:45:00  4     SELL       $11.49        859       
    2025-02-21 00:45:00  5     BUY        $11.56        852       
    2025-02-21 00:45:00  6     SELL       $11.51        852       
    2025-02-21 00:45:00  7     BUY        $11.45        855       
    2025-02-21 00:45:00  8     SELL       $11.42        855       
    2025-02-21 00:45:00  9     BUY        $11.45        852       
    2025-02-21 00:45:00  10    SELL       $11.41        852       
    2025-02-21 00:45:00  11    BUY        $11.41        850       
    2025-02-21 00:45:00  12    SELL       $11.38        850       
    2025-02-21 00:45:00  13    BUY        $11.43        844       
    2025-02-21 00:45:00  14    SELL       $11.49        844       
    2025-02-21 00:45:00  15    BUY        $11.52        840       
    2025-02-21 00:45:00  16    SELL       $11.53        840       
    2025-02-21 00:45:00  17    BUY        $11.31        855       
    2025-02-21 00:45:00  18    SELL       $11.27        855       
    2025-02-21 00:45:00  19    BUY        $11.34        848       
    2025-02-21 00:45:00  20    SELL       $11.28        848       
    2025-02-21 00:45:00  21    BUY        $11.27        848       
    2025-02-21 00:45:00  22    SELL       $11.34        848       
    2025-02-21 00:45:00  23    BUY        $11.26        852       
    2025-02-21 00:45:00  24    SELL       $11.18        852       
    2025-02-21 00:45:00  25    BUY        $11.26        845       
    2025-02-21 00:45:00  26    SELL       $11.19        845       
    2025-02-21 00:45:00  27    BUY        $11.21        841       
    2025-02-21 00:45:00  28    SELL       $11.27        841       
    2025-02-21 00:45:00  29    BUY        $11.31        837       
    2025-02-21 00:45:00  30    SELL       $11.24        837       
    2025-02-21 00:45:00  31    BUY        $11.35        827       
    2025-02-21 00:45:00  32    SELL       $11.31        827       
    2025-02-21 00:45:00  33    BUY        $11.41        818       
    2025-02-21 00:45:00  34    SELL       $11.40        818       
    2025-02-21 00:45:00  35    BUY        $11.35        819       
    2025-02-21 00:45:00  36    SELL       $11.33        819       
    2025-02-21 00:45:00  37    BUY        $11.35        816       
    2025-02-21 00:45:00  38    SELL       $11.52        816       
    2025-02-21 00:45:00  39    BUY        $11.53        814       
    2025-02-21 00:45:00  40    SELL       $11.53        814       
    2025-02-21 00:45:00  41    BUY        $11.55        811       
    2025-02-21 00:45:00  42    SELL       $11.66        811       
    2025-02-21 00:45:00  43    BUY        $11.67        809       
    2025-02-21 00:45:00  44    SELL       $11.63        809       

    ==============================
