
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:23
    Symbol: KWE
    Period: 1d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $8318.34
    Profit/Loss: $-1681.66 (-16.82%)
    Stop Loss Price: 0.01
    Total Trades: 40
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.56         17818     
2     SELL       $0.54         17818     
3     BUY        $0.57         17065     
4     SELL       $0.57         17065     
5     BUY        $0.58         16844     
6     SELL       $0.58         16844     
7     BUY        $0.59         16490     
8     SELL       $0.59         16490     
9     BUY        $0.59         16423     
10    SELL       $0.58         16423     
11    BUY        $0.58         16513     
12    SELL       $0.57         16513     
13    BUY        $0.59         15825     
14    SELL       $0.58         15825     
15    BUY        $0.59         15547     
16    SELL       $0.59         15547     
17    BUY        $0.60         15253     
18    SELL       $0.58         15253     
19    BUY        $0.59         14842     
20    SELL       $0.58         14842     
21    BUY        $0.59         14666     
22    SELL       $0.58         14666     
23    BUY        $0.59         14368     
24    SELL       $0.58         14368     
25    BUY        $0.59         14073     
26    SELL       $0.58         14073     
27    BUY        $0.60         13674     
28    SELL       $0.61         13674     
29    BUY        $0.61         13649     
30    SELL       $0.62         13649     
31    BUY        $0.61         13729     
32    SELL       $0.63         13729     
33    BUY        $0.63         13729     
34    SELL       $0.64         13729     
35    BUY        $0.64         13606     
36    SELL       $0.64         13606     
37    BUY        $0.64         13447     
38    SELL       $0.63         13447     
39    BUY        $0.64         13134     
40    SELL       $0.63         13134     

    ==============================
    
