    === Trading Simulation Log ===
    Date: 2025-02-25 21:34:36
    Symbol: LI
    Period: 1d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9952.55
    Profit/Loss: $-47.45 (-0.47%)
    Stop Loss Price: 0.06
    Total Trades: 22
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-25 21:34:36  1     BUY        $29.33        340       
    2025-02-25 21:34:36  2     SELL       $29.76        340       
    2025-02-25 21:34:36  3     BUY        $29.94        337       
    2025-02-25 21:34:36  4     SELL       $29.85        337       
    2025-02-25 21:34:36  5     BUY        $29.88        336       
    2025-02-25 21:34:36  6     SELL       $29.94        336       
    2025-02-25 21:34:36  7     BUY        $29.87        336       
    2025-02-25 21:34:36  8     SELL       $29.80        336       
    2025-02-25 21:34:36  9     BUY        $29.88        335       
    2025-02-25 21:34:36  10    SELL       $29.77        335       
    2025-02-25 21:34:36  11    BUY        $29.63        336       
    2025-02-25 21:34:36  12    SELL       $29.73        336       
    2025-02-25 21:34:36  13    BUY        $29.78        334       
    2025-02-25 21:34:36  14    SELL       $29.99        334       
    2025-02-25 21:34:36  15    BUY        $29.93        334       
    2025-02-25 21:34:36  16    SELL       $29.86        334       
    2025-02-25 21:34:36  17    BUY        $29.84        334       
    2025-02-25 21:34:36  18    SELL       $29.84        334       
    2025-02-25 21:34:36  19    BUY        $29.86        333       
    2025-02-25 21:34:36  20    SELL       $29.87        333       
    2025-02-25 21:34:36  21    BUY        $29.90        332       
    2025-02-25 21:34:36  22    SELL       $29.94        332       

    ==============================
