    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:27
    Symbol: LMT
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9786.82
    Profit/Loss: $-213.18 (-2.13%)
    Stop Loss Price: 0.66
    Total Trades: 17
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:26  1     BUY        $434.58       22        
    2025-02-21 00:39:26  2     SELL       $431.54       22        
    2025-02-21 00:39:27  3     BUY        $422.46       23        
    2025-02-21 00:39:27  4     SELL       $424.79       23        
    2025-02-21 00:39:27  5     BUY        $426.36       23        
    2025-02-21 00:39:27  6     SELL       $425.03       23        
    2025-02-21 00:39:27  7     BUY        $426.95       23        
    2025-02-21 00:39:27  8     SELL       $430.63       23        
    2025-02-21 00:39:27  9     BUY        $432.57       23        
    2025-02-21 00:39:27  10    SELL       $430.73       23        
    2025-02-21 00:39:27  11    BUY        $428.62       23        
    2025-02-21 00:39:27  12    SELL       $430.86       23        
    2025-02-21 00:39:27  13    BUY        $433.69       22        
    2025-02-21 00:39:27  14    SELL       $432.98       22        
    2025-02-21 00:39:27  15    BUY        $433.12       22        
    2025-02-21 00:39:27  16    SELL       $429.58       22        
    2025-02-21 00:39:27  17    BUY        $436.53       22        

    ==============================
