    === Trading Simulation Log ===
    Date: 2025-02-21 00:43:26
    Symbol: LUMN
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9487.17
    Profit/Loss: $-512.83 (-5.13%)
    Stop Loss Price: 0.02
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:43:26  1     BUY        $4.55         2193      
    2025-02-21 00:43:26  2     SELL       $4.56         2193      
    2025-02-21 00:43:26  3     BUY        $4.61         2167      
    2025-02-21 00:43:26  4     SELL       $4.53         2167      
    2025-02-21 00:43:26  5     BUY        $4.52         2167      
    2025-02-21 00:43:26  6     SELL       $4.55         2167      
    2025-02-21 00:43:26  7     BUY        $4.97         1982      
    2025-02-21 00:43:26  8     SELL       $4.95         1982      
    2025-02-21 00:43:26  9     BUY        $4.95         1978      
    2025-02-21 00:43:26  10    SELL       $4.93         1978      
    2025-02-21 00:43:26  11    BUY        $4.92         1976      
    2025-02-21 00:43:26  12    SELL       $4.89         1976      
    2025-02-21 00:43:26  13    BUY        $4.88         1974      
    2025-02-21 00:43:26  14    SELL       $4.81         1974      

    ==============================
