    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:59
    Symbol: MRNA
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10048.06
    Profit/Loss: $48.06 (0.48%)
    Stop Loss Price: 0.41
    Total Trades: 18
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:58  1     BUY        $32.03        311       
    2025-02-21 00:39:58  2     SELL       $31.98        311       
    2025-02-21 00:39:58  3     BUY        $32.49        306       
    2025-02-21 00:39:58  4     SELL       $31.87        306       
    2025-02-21 00:39:58  5     BUY        $32.34        301       
    2025-02-21 00:39:58  6     SELL       $32.41        301       
    2025-02-21 00:39:58  7     BUY        $32.62        298       
    2025-02-21 00:39:58  8     SELL       $32.85        298       
    2025-02-21 00:39:58  9     BUY        $32.54        300       
    2025-02-21 00:39:59  10    SELL       $32.45        300       
    2025-02-21 00:39:59  11    BUY        $34.01        286       
    2025-02-21 00:39:59  12    SELL       $35.54        286       
    2025-02-21 00:39:59  13    BUY        $35.69        284       
    2025-02-21 00:39:59  14    SELL       $36.15        284       
    2025-02-21 00:39:59  15    BUY        $36.14        284       
    2025-02-21 00:39:59  16    SELL       $35.85        284       
    2025-02-21 00:39:59  17    BUY        $36.47        279       
    2025-02-21 00:39:59  18    SELL       $36.05        279       

    ==============================
