    === Trading Simulation Log ===
    Date: 2025-02-21 00:43:49
    Symbol: MT
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9612.21
    Profit/Loss: $-387.79 (-3.88%)
    Stop Loss Price: 0.04
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:43:48  1     BUY        $28.77        347       
    2025-02-21 00:43:48  2     SELL       $28.80        347       
    2025-02-21 00:43:48  3     BUY        $29.12        342       
    2025-02-21 00:43:48  4     SELL       $29.07        342       
    2025-02-21 00:43:48  5     BUY        $28.97        343       
    2025-02-21 00:43:48  6     SELL       $28.91        343       
    2025-02-21 00:43:48  7     BUY        $29.09        340       
    2025-02-21 00:43:48  8     SELL       $29.02        340       
    2025-02-21 00:43:49  9     BUY        $28.89        341       
    2025-02-21 00:43:49  10    SELL       $28.10        341       
    2025-02-21 00:43:49  11    BUY        $28.30        338       
    2025-02-21 00:43:49  12    SELL       $28.23        338       
    2025-02-21 00:43:49  13    BUY        $28.13        338       
    2025-02-21 00:43:49  14    SELL       $28.41        338       

    ==============================
