
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:07
    Symbol: MULN
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $514568.28
    Profit/Loss: $504568.28 (5045.68%)
    Stop Loss Price: 0.07
    Total Trades: 55
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.22         44843     
2     SELL       $0.22         44843     
3     BUY        $0.22         44964     
4     SELL       $0.23         44964     
5     BUY        $0.23         44709     
6     SELL       $0.23         44709     
7     BUY        $0.23         44650     
8     SELL       $0.26         44650     
9     BUY        $0.26         44445     
10    SELL       $0.27         44445     
11    BUY        $0.27         44362     
12    SELL       $0.28         44362     
13    BUY        $0.28         43484     
14    SELL       $0.29         43484     
15    BUY        $0.29         43710     
16    SELL       $0.31         43710     
17    BUY        $0.30         44581     
18    SELL       $0.32         44581     
19    BUY        $0.32         44197     
20    SELL       $0.33         44197     
21    BUY        $0.33         44183     
22    SELL       $0.34         44183     
23    BUY        $0.34         43871     
24    SELL       $0.34         43871     
25    BUY        $0.32         46314     
26    SELL       $0.34         46314     
27    BUY        $0.25         63548     
28    BUY        $0.23         1         
29    SELL       $9.56         63549     
30    BUY        $9.93         61181     
31    SELL       $10.53        61181     
32    BUY        $11.00        58567     
33    SELL       $10.75        58567     
34    BUY        $10.75        58551     
35    SELL       $10.51        58551     
36    BUY        $9.93         61958     
37    SELL       $9.81         61958     
38    BUY        $9.99         60859     
39    SELL       $9.89         60859     
40    BUY        $9.92         60660     
41    SELL       $9.77         60660     
42    BUY        $9.46         62648     
43    SELL       $8.83         62648     
44    BUY        $7.66         72217     
45    SELL       $7.57         72217     
46    BUY        $7.50         72886     
47    SELL       $7.40         72886     
48    BUY        $7.35         73382     
49    SELL       $7.26         73382     
50    BUY        $7.24         73585     
51    SELL       $7.16         73585     
52    BUY        $7.24         72822     
53    SELL       $7.16         72822     
54    BUY        $7.19         72468     
55    SELL       $7.10         72468     

    ==============================
    
