    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:46
    Symbol: NEE
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9820.92
    Profit/Loss: $-179.08 (-1.79%)
    Stop Loss Price: 0.13
    Total Trades: 18
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:46  1     BUY        $69.29        144       
    2025-02-21 00:38:46  2     SELL       $69.07        144       
    2025-02-21 00:38:46  3     BUY        $69.38        143       
    2025-02-21 00:38:46  4     SELL       $69.22        143       
    2025-02-21 00:38:46  5     BUY        $68.89        143       
    2025-02-21 00:38:46  6     SELL       $68.74        143       
    2025-02-21 00:38:46  7     BUY        $69.00        142       
    2025-02-21 00:38:46  8     SELL       $68.86        142       
    2025-02-21 00:38:46  9     BUY        $68.15        144       
    2025-02-21 00:38:46  10    SELL       $68.00        144       
    2025-02-21 00:38:46  11    BUY        $68.29        143       
    2025-02-21 00:38:46  12    SELL       $68.74        143       
    2025-02-21 00:38:46  13    BUY        $68.64        143       
    2025-02-21 00:38:46  14    SELL       $69.25        143       
    2025-02-21 00:38:46  15    BUY        $69.06        143       
    2025-02-21 00:38:46  16    SELL       $68.99        143       
    2025-02-21 00:38:46  17    BUY        $70.34        140       
    2025-02-21 00:38:46  18    SELL       $70.18        140       

    ==============================
