    === Trading Simulation Log ===
    Date: 2025-02-21 00:45:04
    Symbol: NGD
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9425.61
    Profit/Loss: $-574.39 (-5.74%)
    Stop Loss Price: 0.02
    Total Trades: 39
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:45:03  1     BUY        $2.91         3432      
    2025-02-21 00:45:03  2     SELL       $2.89         3432      
    2025-02-21 00:45:03  3     BUY        $2.88         3437      
    2025-02-21 00:45:03  4     SELL       $2.92         3437      
    2025-02-21 00:45:03  5     BUY        $2.94         3407      
    2025-02-21 00:45:03  6     SELL       $2.91         3407      
    2025-02-21 00:45:03  7     BUY        $2.92         3383      
    2025-02-21 00:45:03  8     SELL       $3.04         3383      
    2025-02-21 00:45:03  9     BUY        $2.99         3421      
    2025-02-21 00:45:03  10    SELL       $2.97         3421      
    2025-02-21 00:45:03  11    BUY        $2.92         3473      
    2025-02-21 00:45:03  12    SELL       $2.91         3473      
    2025-02-21 00:45:03  13    BUY        $2.92         3448      
    2025-02-21 00:45:03  14    SELL       $2.90         3448      
    2025-02-21 00:45:03  15    BUY        $2.90         3435      
    2025-02-21 00:45:03  16    SELL       $2.88         3435      
    2025-02-21 00:45:03  17    BUY        $2.89         3411      
    2025-02-21 00:45:03  18    SELL       $2.87         3411      
    2025-02-21 00:45:03  19    BUY        $2.89         3378      
    2025-02-21 00:45:03  20    SELL       $2.92         3378      
    2025-02-21 00:45:03  21    BUY        $2.92         3366      
    2025-02-21 00:45:03  22    SELL       $2.94         3366      
    2025-02-21 00:45:03  23    BUY        $2.97         3330      
    2025-02-21 00:45:03  24    SELL       $2.94         3330      
    2025-02-21 00:45:03  25    BUY        $2.91         3354      
    2025-02-21 00:45:03  26    SELL       $2.89         3354      
    2025-02-21 00:45:03  27    BUY        $2.89         3341      
    2025-02-21 00:45:03  28    SELL       $2.87         3341      
    2025-02-21 00:45:03  29    BUY        $2.88         3323      
    2025-02-21 00:45:04  30    SELL       $2.76         3323      
    2025-02-21 00:45:04  31    BUY        $2.87         3194      
    2025-02-21 00:45:04  32    SELL       $2.92         3194      
    2025-02-21 00:45:04  33    BUY        $2.94         3171      
    2025-02-21 00:45:04  34    SELL       $2.92         3171      
    2025-02-21 00:45:04  35    BUY        $2.93         3155      
    2025-02-21 00:45:04  36    SELL       $2.94         3155      
    2025-02-21 00:45:04  37    BUY        $2.96         3127      
    2025-02-21 00:45:04  38    SELL       $3.02         3127      
    2025-02-21 00:45:04  39    BUY        $3.01         3131      

    ==============================
