    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:45
    Symbol: NKE
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9747.37
    Profit/Loss: $-252.63 (-2.53%)
    Stop Loss Price: 0.18
    Total Trades: 17
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:44  1     BUY        $75.17        132       
    2025-02-21 00:38:44  2     SELL       $74.93        132       
    2025-02-21 00:38:44  3     BUY        $75.30        131       
    2025-02-21 00:38:44  4     SELL       $75.07        131       
    2025-02-21 00:38:44  5     BUY        $75.28        131       
    2025-02-21 00:38:44  6     SELL       $75.09        131       
    2025-02-21 00:38:44  7     BUY        $76.13        129       
    2025-02-21 00:38:44  8     SELL       $76.15        129       
    2025-02-21 00:38:44  9     BUY        $76.30        128       
    2025-02-21 00:38:45  10    SELL       $76.04        128       
    2025-02-21 00:38:45  11    BUY        $76.14        128       
    2025-02-21 00:38:45  12    SELL       $75.95        128       
    2025-02-21 00:38:45  13    BUY        $76.58        127       
    2025-02-21 00:38:45  14    SELL       $77.22        127       
    2025-02-21 00:38:45  15    BUY        $77.63        126       
    2025-02-21 00:38:45  16    SELL       $77.40        126       
    2025-02-21 00:38:45  17    BUY        $77.18        126       

    ==============================
