
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:03
    Symbol: NKLA
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $10461.43
    Profit/Loss: $461.43 (4.61%)
    Stop Loss Price: 0.00
    Total Trades: 165
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.45         22163     
2     SELL       $0.44         22163     
3     BUY        $0.45         21838     
4     SELL       $0.45         21838     
5     BUY        $0.44         21961     
6     SELL       $0.45         21961     
7     BUY        $0.47         21188     
8     SELL       $0.48         21188     
9     BUY        $0.48         21241     
10    SELL       $0.48         21241     
11    BUY        $0.48         21188     
12    SELL       $0.48         21188     
13    BUY        $0.49         20871     
14    SELL       $0.50         20871     
15    BUY        $0.50         20883     
16    SELL       $0.49         20883     
17    BUY        $0.50         20569     
18    SELL       $0.49         20569     
19    BUY        $0.48         21157     
20    SELL       $0.47         21157     
21    BUY        $0.48         20763     
22    SELL       $0.48         20763     
23    BUY        $0.47         21240     
24    SELL       $0.46         21240     
25    BUY        $0.48         20199     
26    SELL       $0.51         20199     
27    BUY        $0.51         20199     
28    SELL       $0.50         20199     
29    BUY        $0.51         19796     
30    SELL       $0.52         19796     
31    BUY        $0.51         19884     
32    SELL       $0.51         19884     
33    BUY        $0.52         19322     
34    SELL       $0.52         19322     
35    BUY        $0.51         19765     
36    SELL       $0.50         19765     
37    BUY        $0.51         19504     
38    SELL       $0.50         19504     
39    BUY        $0.51         19170     
40    SELL       $0.50         19170     
41    BUY        $0.48         19897     
42    SELL       $0.47         19897     
43    BUY        $0.48         19600     
44    SELL       $0.57         19600     
45    BUY        $0.57         19548     
46    SELL       $0.56         19548     
47    BUY        $0.57         19394     
48    SELL       $0.56         19394     
49    BUY        $0.57         19004     
50    SELL       $0.56         19004     
51    BUY        $0.57         18750     
52    SELL       $0.60         18750     
53    BUY        $0.59         18963     
54    SELL       $0.58         18963     
55    BUY        $0.58         19002     
56    SELL       $0.60         19002     
57    BUY        $0.62         18362     
58    SELL       $0.64         18362     
59    BUY        $0.65         18028     
60    SELL       $0.65         18028     
61    BUY        $0.65         18006     
62    SELL       $0.68         18006     
63    BUY        $0.67         18449     
64    SELL       $0.66         18449     
65    BUY        $0.66         18340     
66    SELL       $0.64         18340     
67    BUY        $0.63         18641     
68    SELL       $0.62         18641     
69    BUY        $0.64         17927     
70    SELL       $0.63         17927     
71    BUY        $0.64         17597     
72    SELL       $0.72         17597     
73    BUY        $0.70         17989     
74    SELL       $0.67         17989     
75    BUY        $0.72         16852     
76    SELL       $0.71         16852     
77    BUY        $0.71         16746     
78    SELL       $0.70         16746     
79    BUY        $0.72         16409     
80    SELL       $0.71         16409     
81    BUY        $0.71         16395     
82    SELL       $0.74         16395     
83    BUY        $0.75         16201     
84    SELL       $0.74         16201     
85    BUY        $0.74         16337     
86    SELL       $0.72         16337     
87    BUY        $0.73         16114     
88    SELL       $0.72         16114     
89    BUY        $0.73         15882     
90    SELL       $0.72         15882     
91    BUY        $0.74         15596     
92    SELL       $0.73         15596     
93    BUY        $0.72         15773     
94    SELL       $0.72         15773     
95    BUY        $0.71         15935     
96    SELL       $0.70         15935     
97    BUY        $0.70         15897     
98    SELL       $0.70         15897     
99    BUY        $0.70         15858     
100   SELL       $0.69         15858     
101   BUY        $0.70         15742     
102   SELL       $0.69         15742     
103   BUY        $0.61         17889     
104   SELL       $0.60         17889     
105   BUY        $0.59         18229     
106   SELL       $0.58         18229     
107   BUY        $0.58         18504     
108   SELL       $0.75         18504     
109   BUY        $0.77         18038     
110   SELL       $0.76         18038     
111   BUY        $0.75         18200     
112   SELL       $0.73         18200     
113   BUY        $0.74         17817     
114   SELL       $0.73         17817     
115   BUY        $0.76         17223     
116   SELL       $0.72         17223     
117   BUY        $0.73         17061     
118   SELL       $0.72         17061     
119   BUY        $0.75         16405     
120   SELL       $0.74         16405     
121   BUY        $0.75         16231     
122   SELL       $0.74         16231     
123   BUY        $0.75         15882     
124   SELL       $0.74         15882     
125   BUY        $0.74         15781     
126   SELL       $0.85         15781     
127   BUY        $0.84         15932     
128   SELL       $0.81         15932     
129   BUY        $0.80         16043     
130   SELL       $0.79         16043     
131   BUY        $0.83         15263     
132   SELL       $0.82         15263     
133   BUY        $0.77         16278     
134   SELL       $0.76         16278     
135   BUY        $0.77         16032     
136   SELL       $0.77         16032     
137   BUY        $0.79         15608     
138   SELL       $0.78         15608     
139   BUY        $0.79         15558     
140   SELL       $0.78         15558     
141   BUY        $0.78         15516     
142   SELL       $0.78         15516     
143   BUY        $0.78         15451     
144   SELL       $0.77         15451     
145   BUY        $0.78         15212     
146   SELL       $0.78         15212     
147   BUY        $0.78         15094     
148   SELL       $0.77         15094     
149   BUY        $0.77         15200     
150   SELL       $0.76         15200     
151   BUY        $0.77         14989     
152   SELL       $0.76         14989     
153   BUY        $0.47         24118     
154   SELL       $0.47         24118     
155   BUY        $0.48         23652     
156   SELL       $0.47         23652     
157   BUY        $0.48         22992     
158   SELL       $0.47         22992     
159   BUY        $0.47         23273     
160   SELL       $0.46         23273     
161   BUY        $0.47         22774     
162   SELL       $0.47         22774     
163   BUY        $0.46         22961     
164   SELL       $0.46         22961     
165   BUY        $0.47         22206     

    ==============================
    
