    === Trading Simulation Log ===
    Date: 2025-02-20 22:21:04
    Symbol: NVDA
    Period: 5d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $10441.95
    Profit/Loss: $441.95 (4.42%)
    Stop Loss Price: 0.27
    Total Trades: 15
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-20 22:21:03  1     BUY        $133.78       74        
    2025-02-20 22:21:04  2     SELL       $141.59       74        
    2025-02-20 22:21:04  3     BUY        $141.48       74        
    2025-02-20 22:21:04  4     SELL       $141.20       74        
    2025-02-20 22:21:04  5     BUY        $140.20       75        
    2025-02-20 22:21:04  6     SELL       $139.88       75        
    2025-02-20 22:21:04  7     BUY        $138.79       75        
    2025-02-20 22:21:04  8     SELL       $138.48       75        
    2025-02-20 22:21:04  9     BUY        $139.73       75        
    2025-02-20 22:21:04  10    SELL       $139.38       75        
    2025-02-20 22:21:04  11    BUY        $139.24       75        
    2025-02-20 22:21:04  12    SELL       $138.97       75        
    2025-02-20 22:21:04  13    BUY        $140.18       74        
    2025-02-20 22:21:04  14    SELL       $139.88       74        
    2025-02-20 22:21:04  15    BUY        $140.12       74        

    ==============================
