    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:06
    Symbol: NVDA
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9984.43
    Profit/Loss: $-15.57 (-0.16%)
    Stop Loss Price: 0.34
    Total Trades: 28
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:05  1     BUY        $133.12       75        
    2025-02-21 00:38:05  2     SELL       $133.85       75        
    2025-02-21 00:38:05  3     BUY        $134.45       74        
    2025-02-21 00:38:05  4     SELL       $135.84       74        
    2025-02-21 00:38:05  5     BUY        $136.89       73        
    2025-02-21 00:38:05  6     SELL       $136.73       73        
    2025-02-21 00:38:05  7     BUY        $136.47       73        
    2025-02-21 00:38:05  8     SELL       $136.25       73        
    2025-02-21 00:38:05  9     BUY        $136.88       73        
    2025-02-21 00:38:05  10    SELL       $137.65       73        
    2025-02-21 00:38:05  11    BUY        $139.07       72        
    2025-02-21 00:38:05  12    SELL       $142.26       72        
    2025-02-21 00:38:05  13    BUY        $141.45       72        
    2025-02-21 00:38:05  14    SELL       $141.24       72        
    2025-02-21 00:38:05  15    BUY        $140.11       73        
    2025-02-21 00:38:05  16    SELL       $140.62       73        
    2025-02-21 00:38:05  17    BUY        $138.79       73        
    2025-02-21 00:38:05  18    SELL       $138.80       73        
    2025-02-21 00:38:05  19    BUY        $139.99       73        
    2025-02-21 00:38:05  20    SELL       $139.05       73        
    2025-02-21 00:38:05  21    BUY        $139.73       72        
    2025-02-21 00:38:05  22    SELL       $139.65       72        
    2025-02-21 00:38:05  23    BUY        $140.44       72        
    2025-02-21 00:38:05  24    SELL       $139.96       72        
    2025-02-21 00:38:05  25    BUY        $140.76       71        
    2025-02-21 00:38:05  26    SELL       $140.75       71        
    2025-02-21 00:38:06  27    BUY        $140.42       71        
    2025-02-21 00:38:06  28    SELL       $139.51       71        

    ==============================
