    === Trading Simulation Log ===
    Date: 2025-02-21 00:41:18
    Symbol: OXY
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10540.19
    Profit/Loss: $540.19 (5.40%)
    Stop Loss Price: 0.12
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:41:17  1     BUY        $47.87        208       
    2025-02-21 00:41:17  2     SELL       $47.89        208       
    2025-02-21 00:41:17  3     BUY        $48.40        206       
    2025-02-21 00:41:17  4     SELL       $48.86        206       
    2025-02-21 00:41:17  5     BUY        $48.77        206       
    2025-02-21 00:41:17  6     SELL       $48.48        206       
    2025-02-21 00:41:17  7     BUY        $48.99        203       
    2025-02-21 00:41:17  8     SELL       $51.41        203       
    2025-02-21 00:41:17  9     BUY        $51.33        203       
    2025-02-21 00:41:17  10    SELL       $51.43        203       
    2025-02-21 00:41:17  11    BUY        $51.12        204       
    2025-02-21 00:41:17  12    SELL       $51.89        204       
    2025-02-21 00:41:17  13    BUY        $50.99        207       
    2025-02-21 00:41:17  14    SELL       $50.85        207       

    ==============================
