    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:46
    Symbol: PAAS
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10277.31
    Profit/Loss: $277.31 (2.77%)
    Stop Loss Price: 0.06
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:46  1     BUY        $25.45        392       
    2025-02-21 00:44:46  2     SELL       $25.28        392       
    2025-02-21 00:44:46  3     BUY        $24.34        406       
    2025-02-21 00:44:46  4     SELL       $24.47        406       
    2025-02-21 00:44:46  5     BUY        $24.28        409       
    2025-02-21 00:44:46  6     SELL       $25.17        409       
    2025-02-21 00:44:46  7     BUY        $25.29        406       
    2025-02-21 00:44:46  8     SELL       $25.39        406       
    2025-02-21 00:44:46  9     BUY        $25.43        404       
    2025-02-21 00:44:46  10    SELL       $25.44        404       
    2025-02-21 00:44:46  11    BUY        $25.46        403       
    2025-02-21 00:44:46  12    SELL       $25.37        403       
    2025-02-21 00:44:46  13    BUY        $25.47        401       
    2025-02-21 00:44:46  14    SELL       $25.40        401       
    2025-02-21 00:44:46  15    BUY        $25.41        400       
    2025-02-21 00:44:46  16    SELL       $25.68        400       

    ==============================
