
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:08
    Symbol: POAI
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $8311.94
    Profit/Loss: $-1688.06 (-16.88%)
    Stop Loss Price: 0.02
    Total Trades: 71
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $1.48         6757      
2     SELL       $1.43         6757      
3     BUY        $1.45         6664      
4     SELL       $1.43         6664      
5     BUY        $1.45         6579      
6     SELL       $1.43         6579      
7     BUY        $1.45         6497      
8     SELL       $1.45         6497      
9     BUY        $1.44         6548      
10    SELL       $1.42         6548      
11    BUY        $1.44         6465      
12    SELL       $1.42         6465      
13    BUY        $1.44         6377      
14    SELL       $1.42         6377      
15    BUY        $1.41         6423      
16    SELL       $1.50         6423      
17    BUY        $1.50         6427      
18    SELL       $1.47         6427      
19    BUY        $1.53         6181      
20    SELL       $1.57         6181      
21    BUY        $1.55         6261      
22    SELL       $1.49         6261      
23    BUY        $1.46         6368      
24    SELL       $1.60         6368      
25    BUY        $1.61         6329      
26    SELL       $1.59         6329      
27    BUY        $1.60         6289      
28    SELL       $1.65         6289      
29    BUY        $1.65         6288      
30    SELL       $1.73         6288      
31    BUY        $1.73         6289      
32    SELL       $1.71         6289      
33    BUY        $1.71         6289      
34    SELL       $1.69         6289      
35    BUY        $1.74         6120      
36    SELL       $1.71         6120      
37    BUY        $1.74         6018      
38    SELL       $1.80         6018      
39    BUY        $1.83         5919      
40    SELL       $1.83         5919      
41    BUY        $1.85         5855      
42    SELL       $1.83         5855      
43    BUY        $1.82         5884      
44    SELL       $1.78         5884      
45    BUY        $1.81         5801      
46    SELL       $1.84         5801      
47    BUY        $1.87         5693      
48    SELL       $1.88         5693      
49    BUY        $1.89         5664      
50    SELL       $1.90         5664      
51    BUY        $1.90         5649      
52    SELL       $1.87         5649      
53    BUY        $1.92         5514      
54    SELL       $1.89         5514      
55    BUY        $1.91         5459      
56    SELL       $1.94         5459      
57    BUY        $1.94         5462      
58    SELL       $1.91         5462      
59    BUY        $1.95         5342      
60    SELL       $1.93         5342      
61    BUY        $1.94         5302      
62    SELL       $1.93         5302      
63    BUY        $1.93         5290      
64    SELL       $1.64         5290      
65    BUY        $1.55         5597      
66    SELL       $1.53         5597      
67    BUY        $1.55         5508      
68    SELL       $1.53         5508      
69    BUY        $1.52         5541      
70    SELL       $1.50         5541      
71    BUY        $1.51         5504      

    ==============================
    
