    === Trading Simulation Log ===
    Date: 2025-02-21 00:40:25
    Symbol: REGN
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9975.32
    Profit/Loss: $-24.68 (-0.25%)
    Stop Loss Price: 3.48
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:40:25  1     BUY        $673.29       14        
    2025-02-21 00:40:25  2     SELL       $678.16       14        
    2025-02-21 00:40:25  3     BUY        $680.69       14        
    2025-02-21 00:40:25  4     SELL       $677.00       14        
    2025-02-21 00:40:25  5     BUY        $678.41       14        
    2025-02-21 00:40:25  6     SELL       $682.43       14        
    2025-02-21 00:40:25  7     BUY        $688.96       14        
    2025-02-21 00:40:25  8     SELL       $684.65       14        
    2025-02-21 00:40:25  9     BUY        $679.96       14        
    2025-02-21 00:40:25  10    SELL       $682.66       14        
    2025-02-21 00:40:25  11    BUY        $688.52       14        
    2025-02-21 00:40:25  12    SELL       $697.11       14        
    2025-02-21 00:40:25  13    BUY        $697.32       14        
    2025-02-21 00:40:25  14    SELL       $693.37       14        

    ==============================
