    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:54
    Symbol: RGLD
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9640.82
    Profit/Loss: $-359.18 (-3.59%)
    Stop Loss Price: 0.42
    Total Trades: 17
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:53  1     BUY        $154.24       64        
    2025-02-21 00:44:53  2     SELL       $154.71       64        
    2025-02-21 00:44:53  3     BUY        $154.82       64        
    2025-02-21 00:44:53  4     SELL       $154.15       64        
    2025-02-21 00:44:53  5     BUY        $154.98       64        
    2025-02-21 00:44:53  6     SELL       $154.50       64        
    2025-02-21 00:44:53  7     BUY        $148.70       66        
    2025-02-21 00:44:53  8     SELL       $148.56       66        
    2025-02-21 00:44:53  9     BUY        $147.83       66        
    2025-02-21 00:44:53  10    SELL       $147.39       66        
    2025-02-21 00:44:53  11    BUY        $147.57       66        
    2025-02-21 00:44:54  12    SELL       $147.10       66        
    2025-02-21 00:44:54  13    BUY        $147.33       66        
    2025-02-21 00:44:54  14    SELL       $146.77       66        
    2025-02-21 00:44:54  15    BUY        $148.27       65        
    2025-02-21 00:44:54  16    SELL       $147.65       65        
    2025-02-21 00:44:54  17    BUY        $152.22       63        

    ==============================
