    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:52
    Symbol: SAND
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10291.83
    Profit/Loss: $291.83 (2.92%)
    Stop Loss Price: 0.03
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:51  1     BUY        $6.39         1563      
    2025-02-21 00:44:52  2     SELL       $6.47         1563      
    2025-02-21 00:44:52  3     BUY        $5.85         1724      
    2025-02-21 00:44:52  4     SELL       $5.82         1724      
    2025-02-21 00:44:52  5     BUY        $5.84         1715      
    2025-02-21 00:44:52  6     SELL       $5.80         1715      
    2025-02-21 00:44:52  7     BUY        $5.70         1741      
    2025-02-21 00:44:52  8     SELL       $5.70         1741      
    2025-02-21 00:44:52  9     BUY        $5.76         1721      
    2025-02-21 00:44:52  10    SELL       $5.98         1721      
    2025-02-21 00:44:52  11    BUY        $6.04         1701      
    2025-02-21 00:44:52  12    SELL       $6.09         1701      
    2025-02-21 00:44:52  13    BUY        $6.17         1676      
    2025-02-21 00:44:52  14    SELL       $6.14         1676      

    ==============================
