    === Trading Simulation Log ===
    Date: 2025-02-25 21:29:26
    Symbol: SMCI
    Period: 1d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9742.17
    Profit/Loss: $-257.83 (-2.58%)
    Stop Loss Price: 0.76
    Total Trades: 16
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-25 21:29:25  1     BUY        $47.95        208       
    2025-02-25 21:29:25  2     SELL       $46.85        208       
    2025-02-25 21:29:25  3     BUY        $47.52        205       
    2025-02-25 21:29:25  4     SELL       $46.57        205       
    2025-02-25 21:29:25  5     BUY        $47.14        202       
    2025-02-25 21:29:25  6     SELL       $47.01        202       
    2025-02-25 21:29:25  7     BUY        $47.09        201       
    2025-02-25 21:29:25  8     SELL       $46.49        201       
    2025-02-25 21:29:25  9     BUY        $45.44        205       
    2025-02-25 21:29:25  10    SELL       $47.92        205       
    2025-02-25 21:29:25  11    BUY        $47.23        208       
    2025-02-25 21:29:25  12    SELL       $47.01        208       
    2025-02-25 21:29:26  13    BUY        $46.87        208       
    2025-02-25 21:29:26  14    SELL       $46.06        208       
    2025-02-25 21:29:26  15    BUY        $46.31        206       
    2025-02-25 21:29:26  16    SELL       $47.17        206       

    ==============================
