
    === Trading Simulation Log ===
    Date: 2025-02-20 01:06:40
    Symbol: SMCI
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $14145.84
    Profit/Loss: $4145.84 (41.46%)
    Stop Loss Price: 0.60
    Total Trades: 53
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $35.76        279       
2     SELL       $35.13        279       
3     BUY        $35.56        275       
4     SELL       $37.69        275       
5     BUY        $38.03        272       
6     SELL       $39.49        272       
7     BUY        $39.93        268       
8     SELL       $41.05        268       
9     BUY        $41.55        265       
10    SELL       $40.87        265       
11    BUY        $41.32        261       
12    SELL       $41.78        261       
13    BUY        $42.29        258       
14    SELL       $39.92        258       
15    BUY        $41.76        246       
16    SELL       $41.15        246       
17    BUY        $41.22        245       
18    SELL       $40.40        245       
19    BUY        $39.74        249       
20    SELL       $39.00        249       
21    BUY        $39.42        245       
22    SELL       $38.65        245       
23    BUY        $41.91        226       
24    SELL       $41.20        226       
25    BUY        $40.66        228       
26    SELL       $42.83        228       
27    BUY        $42.67        229       
28    SELL       $42.02        229       
29    BUY        $40.02        240       
30    SELL       $39.29        240       
31    BUY        $39.70        237       
32    SELL       $46.66        237       
33    BUY        $46.97        235       
34    SELL       $46.18        235       
35    BUY        $46.53        232       
36    SELL       $45.92        232       
37    BUY        $46.38        230       
38    SELL       $54.06        230       
39    BUY        $53.51        232       
40    SELL       $52.67        232       
41    BUY        $54.06        225       
42    SELL       $53.36        225       
43    BUY        $53.12        226       
44    SELL       $59.14        226       
45    BUY        $58.05        230       
46    SELL       $64.05        230       
47    BUY        $64.65        227       
48    SELL       $64.04        227       
49    BUY        $65.21        223       
50    SELL       $64.60        223       
51    BUY        $65.35        220       
52    SELL       $64.72        220       
53    BUY        $60.75        234       

    ==============================
    
