
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:06
    Symbol: SOPA
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $11313.32
    Profit/Loss: $1313.32 (13.13%)
    Stop Loss Price: 0.02
    Total Trades: 157
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $2.24         4464      
2     SELL       $2.21         4464      
3     BUY        $2.27         4346      
4     SELL       $2.22         4346      
5     BUY        $2.26         4261      
6     SELL       $2.24         4261      
7     BUY        $2.26         4224      
8     SELL       $2.23         4224      
9     BUY        $2.27         4150      
10    SELL       $2.24         4150      
11    BUY        $2.28         4086      
12    SELL       $2.26         4086      
13    BUY        $2.28         4041      
14    SELL       $2.24         4041      
15    BUY        $2.27         3989      
16    SELL       $2.24         3989      
17    BUY        $2.27         3945      
18    SELL       $2.52         3945      
19    BUY        $2.55         3902      
20    SELL       $2.52         3902      
21    BUY        $2.58         3812      
22    SELL       $2.54         3812      
23    BUY        $2.55         3797      
24    SELL       $2.50         3797      
25    BUY        $2.56         3712      
26    SELL       $2.58         3712      
27    BUY        $2.60         3684      
28    SELL       $2.65         3684      
29    BUY        $2.68         3642      
30    SELL       $2.75         3642      
31    BUY        $2.80         3580      
32    SELL       $2.76         3580      
33    BUY        $2.77         3567      
34    SELL       $2.74         3567      
35    BUY        $2.77         3529      
36    SELL       $2.75         3529      
37    BUY        $2.76         3512      
38    SELL       $2.83         3512      
39    BUY        $2.87         3470      
40    SELL       $2.81         3470      
41    BUY        $2.89         3377      
42    SELL       $2.92         3377      
43    BUY        $2.95         3343      
44    SELL       $2.87         3343      
45    BUY        $2.92         3286      
46    SELL       $2.89         3286      
47    BUY        $2.89         3285      
48    SELL       $2.84         3285      
49    BUY        $2.89         3226      
50    SELL       $3.10         3226      
51    BUY        $3.13         3201      
52    SELL       $3.06         3201      
53    BUY        $3.03         3231      
54    SELL       $2.96         3231      
55    BUY        $2.99         3199      
56    SELL       $2.91         3199      
57    BUY        $2.40         3879      
58    SELL       $2.37         3879      
59    BUY        $2.42         3793      
60    SELL       $3.60         3793      
61    BUY        $3.45         3958      
62    SELL       $3.34         3958      
63    BUY        $3.56         3721      
64    SELL       $3.39         3721      
65    BUY        $3.41         3700      
66    SELL       $3.23         3700      
67    BUY        $3.25         3677      
68    SELL       $3.22         3677      
69    BUY        $3.30         3587      
70    SELL       $3.25         3587      
71    BUY        $3.22         3621      
72    SELL       $3.19         3621      
73    BUY        $3.24         3570      
74    SELL       $3.21         3570      
75    BUY        $3.27         3507      
76    SELL       $3.23         3507      
77    BUY        $3.28         3454      
78    SELL       $3.24         3454      
79    BUY        $3.26         3433      
80    SELL       $4.29         3433      
81    BUY        $4.15         3552      
82    SELL       $4.40         3552      
83    BUY        $4.05         3859      
84    SELL       $3.82         3859      
85    BUY        $3.65         4039      
86    SELL       $3.60         4039      
87    BUY        $3.63         4006      
88    SELL       $4.95         4006      
89    BUY        $4.93         4021      
90    SELL       $4.82         4021      
91    BUY        $4.72         4103      
92    SELL       $5.28         4103      
93    BUY        $5.70         3797      
94    SELL       $5.79         3797      
95    BUY        $5.82         3778      
96    SELL       $5.76         3778      
97    BUY        $5.97         3646      
98    SELL       $5.75         3646      
99    BUY        $5.93         3535      
100   SELL       $6.12         3535      
101   BUY        $5.97         3624      
102   SELL       $5.71         3624      
103   BUY        $6.01         3443      
104   SELL       $6.32         3443      
105   BUY        $6.11         3559      
106   SELL       $5.93         3559      
107   BUY        $6.07         3474      
108   SELL       $5.85         3474      
109   BUY        $5.88         3456      
110   SELL       $5.83         3456      
111   BUY        $5.95         3383      
112   SELL       $5.75         3383      
113   BUY        $5.70         3413      
114   SELL       $4.70         3413      
115   BUY        $4.19         3828      
116   SELL       $4.11         3828      
117   BUY        $4.16         3786      
118   SELL       $4.09         3786      
119   BUY        $4.21         3683      
120   SELL       $4.16         3683      
121   BUY        $3.70         4135      
122   SELL       $3.66         4135      
123   BUY        $3.75         4036      
124   SELL       $3.70         4036      
125   BUY        $3.78         3950      
126   SELL       $3.75         3950      
127   BUY        $3.87         3828      
128   SELL       $3.81         3828      
129   BUY        $3.78         3861      
130   SELL       $3.75         3861      
131   BUY        $3.79         3821      
132   SELL       $3.65         3821      
133   BUY        $3.64         3832      
134   SELL       $3.58         3832      
135   BUY        $3.48         3931      
136   SELL       $3.45         3931      
137   BUY        $3.46         3924      
138   SELL       $3.40         3924      
139   BUY        $3.42         3900      
140   SELL       $3.36         3900      
141   BUY        $3.51         3727      
142   SELL       $3.48         3727      
143   BUY        $3.48         3725      
144   SELL       $3.43         3725      
145   BUY        $2.33         5494      
146   SELL       $2.30         5494      
147   BUY        $2.31         5471      
148   SELL       $2.26         5471      
149   BUY        $2.32         5341      
150   SELL       $2.23         5341      
151   BUY        $2.24         5305      
152   SELL       $2.22         5305      
153   BUY        $2.29         5143      
154   SELL       $2.26         5143      
155   BUY        $2.24         5189      
156   SELL       $2.20         5189      
157   BUY        $2.21         5154      

    ==============================
    
