    === Trading Simulation Log ===
    Date: 2025-02-21 03:31:40
    Symbol: SOXL
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9151.26
    Profit/Loss: $-848.74 (-8.49%)
    Stop Loss Price: 0.12
    Total Trades: 136
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 03:31:39  1     BUY        $27.18        367       
    2025-02-21 03:31:39  2     SELL       $27.07        367       
    2025-02-21 03:31:39  3     BUY        $27.15        365       
    2025-02-21 03:31:39  4     SELL       $27.00        365       
    2025-02-21 03:31:39  5     BUY        $27.11        363       
    2025-02-21 03:31:39  6     SELL       $27.02        363       
    2025-02-21 03:31:39  7     BUY        $27.18        360       
    2025-02-21 03:31:39  8     SELL       $27.42        360       
    2025-02-21 03:31:39  9     BUY        $27.42        359       
    2025-02-21 03:31:39  10    SELL       $27.27        359       
    2025-02-21 03:31:39  11    BUY        $27.39        357       
    2025-02-21 03:31:39  12    SELL       $27.43        357       
    2025-02-21 03:31:39  13    BUY        $27.44        356       
    2025-02-21 03:31:39  14    SELL       $27.64        356       
    2025-02-21 03:31:39  15    BUY        $27.76        354       
    2025-02-21 03:31:39  16    SELL       $27.59        354       
    2025-02-21 03:31:39  17    BUY        $27.65        352       
    2025-02-21 03:31:39  18    SELL       $27.50        352       
    2025-02-21 03:31:39  19    BUY        $27.60        350       
    2025-02-21 03:31:39  20    SELL       $27.74        350       
    2025-02-21 03:31:39  21    BUY        $27.78        349       
    2025-02-21 03:31:39  22    SELL       $27.70        349       
    2025-02-21 03:31:39  23    BUY        $27.49        351       
    2025-02-21 03:31:39  24    SELL       $27.36        351       
    2025-02-21 03:31:39  25    BUY        $27.43        350       
    2025-02-21 03:31:39  26    SELL       $27.63        350       
    2025-02-21 03:31:39  27    BUY        $27.69        348       
    2025-02-21 03:31:40  28    SELL       $27.60        348       
    2025-02-21 03:31:40  29    BUY        $26.73        359       
    2025-02-21 03:31:40  30    SELL       $26.74        359       
    2025-02-21 03:31:40  31    BUY        $26.91        356       
    2025-02-21 03:31:40  32    SELL       $26.77        356       
    2025-02-21 03:31:40  33    BUY        $26.66        356       
    2025-02-21 03:31:40  34    SELL       $26.91        356       
    2025-02-21 03:31:40  35    BUY        $27.01        354       
    2025-02-21 03:31:40  36    SELL       $27.08        354       
    2025-02-21 03:31:40  37    BUY        $27.22        352       
    2025-02-21 03:31:40  38    SELL       $27.07        352       
    2025-02-21 03:31:40  39    BUY        $27.19        349       
    2025-02-21 03:31:40  40    SELL       $27.05        349       
    2025-02-21 03:31:40  41    BUY        $27.14        347       
    2025-02-21 03:31:40  42    SELL       $27.40        347       
    2025-02-21 03:31:40  43    BUY        $27.43        346       
    2025-02-21 03:31:40  44    SELL       $27.59        346       
    2025-02-21 03:31:40  45    BUY        $27.90        342       
    2025-02-21 03:31:40  46    SELL       $28.05        342       
    2025-02-21 03:31:40  47    BUY        $28.27        338       
    2025-02-21 03:31:40  48    SELL       $28.03        338       
    2025-02-21 03:31:40  49    BUY        $28.32        334       
    2025-02-21 03:31:40  50    SELL       $28.23        334       
    2025-02-21 03:31:40  51    BUY        $28.40        332       
    2025-02-21 03:31:40  52    SELL       $28.26        332       
    2025-02-21 03:31:40  53    BUY        $28.26        331       
    2025-02-21 03:31:40  54    SELL       $28.14        331       
    2025-02-21 03:31:40  55    BUY        $28.27        329       
    2025-02-21 03:31:40  56    SELL       $28.13        329       
    2025-02-21 03:31:40  57    BUY        $28.21        327       
    2025-02-21 03:31:40  58    SELL       $28.22        327       
    2025-02-21 03:31:40  59    BUY        $28.14        327       
    2025-02-21 03:31:40  60    SELL       $28.16        327       
    2025-02-21 03:31:40  61    BUY        $28.27        325       
    2025-02-21 03:31:40  62    SELL       $28.24        325       
    2025-02-21 03:31:40  63    BUY        $28.42        322       
    2025-02-21 03:31:40  64    SELL       $28.38        322       
    2025-02-21 03:31:40  65    BUY        $28.55        320       
    2025-02-21 03:31:40  66    SELL       $28.50        320       
    2025-02-21 03:31:40  67    BUY        $28.58        318       
    2025-02-21 03:31:40  68    SELL       $28.45        318       
    2025-02-21 03:31:40  69    BUY        $28.50        317       
    2025-02-21 03:31:40  70    SELL       $28.50        317       
    2025-02-21 03:31:40  71    BUY        $28.56        316       
    2025-02-21 03:31:40  72    SELL       $28.43        316       
    2025-02-21 03:31:40  73    BUY        $28.33        316       
    2025-02-21 03:31:40  74    SELL       $28.37        316       
    2025-02-21 03:31:40  75    BUY        $28.49        314       
    2025-02-21 03:31:40  76    SELL       $28.54        314       
    2025-02-21 03:31:40  77    BUY        $28.61        313       
    2025-02-21 03:31:40  78    SELL       $28.69        313       
    2025-02-21 03:31:40  79    BUY        $28.41        315       
    2025-02-21 03:31:40  80    SELL       $28.49        315       
    2025-02-21 03:31:40  81    BUY        $28.51        314       
    2025-02-21 03:31:40  82    SELL       $29.77        314       
    2025-02-21 03:31:40  83    BUY        $29.33        318       
    2025-02-21 03:31:40  84    SELL       $29.38        318       
    2025-02-21 03:31:40  85    BUY        $29.57        315       
    2025-02-21 03:31:40  86    SELL       $29.44        315       
    2025-02-21 03:31:40  87    BUY        $29.50        314       
    2025-02-21 03:31:40  88    SELL       $29.54        314       
    2025-02-21 03:31:40  89    BUY        $29.76        311       
    2025-02-21 03:31:40  90    SELL       $29.62        311       
    2025-02-21 03:31:40  91    BUY        $29.70        310       
    2025-02-21 03:31:40  92    SELL       $29.72        310       
    2025-02-21 03:31:40  93    BUY        $29.81        308       
    2025-02-21 03:31:40  94    SELL       $29.69        308       
    2025-02-21 03:31:40  95    BUY        $29.80        306       
    2025-02-21 03:31:40  96    SELL       $29.86        306       
    2025-02-21 03:31:40  97    BUY        $29.94        305       
    2025-02-21 03:31:40  98    SELL       $29.80        305       
    2025-02-21 03:31:40  99    BUY        $29.90        303       
    2025-02-21 03:31:40  100   SELL       $29.81        303       
    2025-02-21 03:31:40  101   BUY        $29.93        301       
    2025-02-21 03:31:40  102   SELL       $30.05        301       
    2025-02-21 03:31:40  103   BUY        $30.12        300       
    2025-02-21 03:31:40  104   SELL       $30.22        300       
    2025-02-21 03:31:40  105   BUY        $30.18        299       
    2025-02-21 03:31:40  106   SELL       $30.18        299       
    2025-02-21 03:31:40  107   BUY        $30.08        300       
    2025-02-21 03:31:40  108   SELL       $30.55        300       
    2025-02-21 03:31:40  109   BUY        $30.76        297       
    2025-02-21 03:31:40  110   SELL       $30.78        297       
    2025-02-21 03:31:40  111   BUY        $30.88        295       
    2025-02-21 03:31:40  112   SELL       $31.01        295       
    2025-02-21 03:31:40  113   BUY        $31.18        293       
    2025-02-21 03:31:40  114   SELL       $31.16        293       
    2025-02-21 03:31:40  115   BUY        $31.12        293       
    2025-02-21 03:31:40  116   SELL       $31.23        293       
    2025-02-21 03:31:40  117   BUY        $31.23        292       
    2025-02-21 03:31:40  118   SELL       $31.45        292       
    2025-02-21 03:31:40  119   BUY        $31.51        291       
    2025-02-21 03:31:40  120   SELL       $31.56        291       
    2025-02-21 03:31:40  121   BUY        $31.71        289       
    2025-02-21 03:31:40  122   SELL       $31.73        289       
    2025-02-21 03:31:40  123   BUY        $32.16        284       
    2025-02-21 03:31:40  124   SELL       $32.33        284       
    2025-02-21 03:31:40  125   BUY        $31.59        290       
    2025-02-21 03:31:40  126   SELL       $31.46        290       
    2025-02-21 03:31:40  127   BUY        $31.09        293       
    2025-02-21 03:31:40  128   SELL       $30.98        293       
    2025-02-21 03:31:40  129   BUY        $31.05        292       
    2025-02-21 03:31:40  130   SELL       $31.42        292       
    2025-02-21 03:31:40  131   BUY        $31.19        293       
    2025-02-21 03:31:40  132   SELL       $31.08        293       
    2025-02-21 03:31:40  133   BUY        $31.18        292       
    2025-02-21 03:31:40  134   SELL       $31.34        292       
    2025-02-21 03:31:40  135   BUY        $31.47        290       
    2025-02-21 03:31:40  136   SELL       $31.52        290       

    ==============================
