    === Trading Simulation Log ===
    Date: 2025-02-21 02:26:09
    Symbol: SOXS
    Period: 1d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9553.53
    Profit/Loss: $-446.47 (-4.46%)
    Stop Loss Price: 0.09
    Total Trades: 29
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 02:26:09  1     BUY        $17.36        575       
    2025-02-21 02:26:09  2     SELL       $17.37        575       
    2025-02-21 02:26:09  3     BUY        $17.49        570       
    2025-02-21 02:26:09  4     SELL       $17.47        570       
    2025-02-21 02:26:09  5     BUY        $17.52        567       
    2025-02-21 02:26:09  6     SELL       $17.41        567       
    2025-02-21 02:26:09  7     BUY        $17.42        566       
    2025-02-21 02:26:09  8     SELL       $17.42        566       
    2025-02-21 02:26:09  9     BUY        $17.45        563       
    2025-02-21 02:26:09  10    SELL       $17.59        563       
    2025-02-21 02:26:09  11    BUY        $17.65        560       
    2025-02-21 02:26:09  12    SELL       $17.67        560       
    2025-02-21 02:26:09  13    BUY        $17.73        557       
    2025-02-21 02:26:09  14    SELL       $17.62        557       
    2025-02-21 02:26:09  15    BUY        $17.64        556       
    2025-02-21 02:26:09  16    SELL       $17.66        556       
    2025-02-21 02:26:09  17    BUY        $17.70        553       
    2025-02-21 02:26:09  18    SELL       $17.63        553       
    2025-02-21 02:26:09  19    BUY        $17.43        558       
    2025-02-21 02:26:09  20    SELL       $17.55        558       
    2025-02-21 02:26:09  21    BUY        $17.59        556       
    2025-02-21 02:26:09  22    SELL       $17.55        556       
    2025-02-21 02:26:09  23    BUY        $17.59        553       
    2025-02-21 02:26:09  24    SELL       $17.54        553       
    2025-02-21 02:26:09  25    BUY        $17.46        555       
    2025-02-21 02:26:09  26    SELL       $17.40        555       
    2025-02-21 02:26:09  27    BUY        $17.38        554       
    2025-02-21 02:26:09  28    SELL       $17.43        554       
    2025-02-21 02:26:09  29    BUY        $17.47        552       

    ==============================
