    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:49
    Symbol: SSRM
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10992.99
    Profit/Loss: $992.99 (9.93%)
    Stop Loss Price: 0.04
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:49  1     BUY        $9.35         1069      
    2025-02-21 00:44:49  2     SELL       $9.28         1069      
    2025-02-21 00:44:49  3     BUY        $9.50         1042      
    2025-02-21 00:44:49  4     SELL       $9.69         1042      
    2025-02-21 00:44:49  5     BUY        $9.75         1033      
    2025-02-21 00:44:49  6     SELL       $10.21        1033      
    2025-02-21 00:44:49  7     BUY        $10.26        1026      
    2025-02-21 00:44:49  8     SELL       $10.55        1026      
    2025-02-21 00:44:49  9     BUY        $10.52        1027      
    2025-02-21 00:44:49  10    SELL       $10.48        1027      
    2025-02-21 00:44:49  11    BUY        $10.54        1019      
    2025-02-21 00:44:49  12    SELL       $10.78        1019      
    2025-02-21 00:44:49  13    BUY        $10.62        1032      
    2025-02-21 00:44:49  14    SELL       $10.65        1032      

    ==============================
