    === Trading Simulation Log ===
    Date: 2025-02-21 00:38:10
    Symbol: TSLA
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9503.09
    Profit/Loss: $-496.91 (-4.97%)
    Stop Loss Price: 0.89
    Total Trades: 58
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:38:09  1     BUY        $347.77       28        
    2025-02-21 00:38:09  2     SELL       $356.84       28        
    2025-02-21 00:38:09  3     BUY        $352.07       29        
    2025-02-21 00:38:09  4     SELL       $351.03       29        
    2025-02-21 00:38:09  5     BUY        $351.26       28        
    2025-02-21 00:38:09  6     SELL       $350.20       28        
    2025-02-21 00:38:09  7     BUY        $351.86       28        
    2025-02-21 00:38:09  8     SELL       $349.86       28        
    2025-02-21 00:38:09  9     BUY        $351.06       28        
    2025-02-21 00:38:09  10    SELL       $350.42       28        
    2025-02-21 00:38:09  11    BUY        $352.74       28        
    2025-02-21 00:38:09  12    SELL       $351.39       28        
    2025-02-21 00:38:09  13    BUY        $351.67       28        
    2025-02-21 00:38:09  14    SELL       $354.56       28        
    2025-02-21 00:38:09  15    BUY        $356.00       28        
    2025-02-21 00:38:09  16    SELL       $354.94       28        
    2025-02-21 00:38:09  17    BUY        $355.49       28        
    2025-02-21 00:38:09  18    SELL       $357.14       28        
    2025-02-21 00:38:09  19    BUY        $358.91       27        
    2025-02-21 00:38:09  20    SELL       $356.72       27        
    2025-02-21 00:38:09  21    BUY        $356.57       27        
    2025-02-21 00:38:09  22    SELL       $354.84       27        
    2025-02-21 00:38:09  23    BUY        $353.79       27        
    2025-02-21 00:38:09  24    SELL       $354.32       27        
    2025-02-21 00:38:09  25    BUY        $352.83       27        
    2025-02-21 00:38:09  26    SELL       $351.63       27        
    2025-02-21 00:38:09  27    BUY        $350.23       27        
    2025-02-21 00:38:09  28    SELL       $349.00       27        
    2025-02-21 00:38:09  29    BUY        $350.99       27        
    2025-02-21 00:38:09  30    SELL       $350.72       27        
    2025-02-21 00:38:09  31    BUY        $354.02       27        
    2025-02-21 00:38:09  32    SELL       $354.66       27        
    2025-02-21 00:38:09  33    BUY        $356.02       27        
    2025-02-21 00:38:09  34    SELL       $353.74       27        
    2025-02-21 00:38:09  35    BUY        $357.86       26        
    2025-02-21 00:38:09  36    SELL       $354.93       26        
    2025-02-21 00:38:09  37    BUY        $356.59       26        
    2025-02-21 00:38:09  38    SELL       $355.16       26        
    2025-02-21 00:38:09  39    BUY        $356.56       26        
    2025-02-21 00:38:09  40    SELL       $355.22       26        
    2025-02-21 00:38:09  41    BUY        $357.75       26        
    2025-02-21 00:38:09  42    SELL       $356.83       26        
    2025-02-21 00:38:09  43    BUY        $355.80       26        
    2025-02-21 00:38:09  44    SELL       $355.12       26        
    2025-02-21 00:38:09  45    BUY        $353.89       26        
    2025-02-21 00:38:09  46    SELL       $363.44       26        
    2025-02-21 00:38:09  47    BUY        $364.58       26        
    2025-02-21 00:38:09  48    SELL       $364.52       26        
    2025-02-21 00:38:09  49    BUY        $363.66       26        
    2025-02-21 00:38:09  50    SELL       $361.88       26        
    2025-02-21 00:38:09  51    BUY        $360.70       26        
    2025-02-21 00:38:09  52    SELL       $363.41       26        
    2025-02-21 00:38:09  53    BUY        $360.58       26        
    2025-02-21 00:38:09  54    SELL       $360.23       26        
    2025-02-21 00:38:09  55    BUY        $350.44       27        
    2025-02-21 00:38:09  56    SELL       $351.81       27        
    2025-02-21 00:38:09  57    BUY        $352.83       26        
    2025-02-21 00:38:09  58    SELL       $352.95       26        

    ==============================
