
    === Trading Simulation Log ===
    Date: 2025-02-20 01:05:18
    Symbol: TWG
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9252.72
    Profit/Loss: $-747.28 (-7.47%)
    Stop Loss Price: 0.00
    Total Trades: 73
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.20         49925     
2     SELL       $0.20         49925     
3     BUY        $0.20         48134     
4     SELL       $0.20         48134     
5     BUY        $0.20         47324     
6     SELL       $0.20         47324     
7     BUY        $0.19         49255     
8     SELL       $0.19         49255     
9     BUY        $0.19         48475     
10    SELL       $0.19         48475     
11    BUY        $0.19         47219     
12    SELL       $0.20         47219     
13    BUY        $0.20         47731     
14    SELL       $0.20         47731     
15    BUY        $0.20         47249     
16    SELL       $0.21         47249     
17    BUY        $0.22         46607     
18    SELL       $0.21         46607     
19    BUY        $0.22         44102     
20    SELL       $0.22         44102     
21    BUY        $0.23         42531     
22    SELL       $0.22         42531     
23    BUY        $0.23         41990     
24    SELL       $0.22         41990     
25    BUY        $0.23         40959     
26    SELL       $0.22         40959     
27    BUY        $0.22         40925     
28    SELL       $0.23         40925     
29    BUY        $0.23         41053     
30    SELL       $0.22         41053     
31    BUY        $0.23         39966     
32    SELL       $0.23         39966     
33    BUY        $0.23         39303     
34    SELL       $0.23         39303     
35    BUY        $0.23         38718     
36    SELL       $0.24         38718     
37    BUY        $0.25         38479     
38    SELL       $0.24         38479     
39    BUY        $0.25         37394     
40    SELL       $0.24         37394     
41    BUY        $0.25         37160     
42    SELL       $0.25         37160     
43    BUY        $0.25         37823     
44    SELL       $0.25         37823     
45    BUY        $0.25         37489     
46    SELL       $0.25         37489     
47    BUY        $0.25         36808     
48    SELL       $0.27         36808     
49    BUY        $0.27         36331     
50    SELL       $0.27         36331     
51    BUY        $0.27         35767     
52    SELL       $0.27         35767     
53    BUY        $0.27         35354     
54    SELL       $0.28         35354     
55    BUY        $0.29         34494     
56    SELL       $0.29         34494     
57    BUY        $0.29         34737     
58    SELL       $0.30         34737     
59    BUY        $0.23         46095     
60    SELL       $0.22         46095     
61    BUY        $0.22         47280     
62    SELL       $0.21         47280     
63    BUY        $0.22         46793     
64    SELL       $0.21         46793     
65    BUY        $0.22         45714     
66    SELL       $0.22         45714     
67    BUY        $0.22         45430     
68    SELL       $0.21         45430     
69    BUY        $0.21         45596     
70    SELL       $0.21         45596     
71    BUY        $0.21         45521     
72    SELL       $0.20         45521     
73    BUY        $0.20         45579     

    ==============================
    
