    === Trading Simulation Log ===
    Date: 2025-02-21 00:42:20
    Symbol: VTRS
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10067.97
    Profit/Loss: $67.97 (0.68%)
    Stop Loss Price: 0.03
    Total Trades: 13
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:42:19  1     BUY        $10.66        936       
    2025-02-21 00:42:19  2     SELL       $10.77        936       
    2025-02-21 00:42:19  3     BUY        $10.85        927       
    2025-02-21 00:42:19  4     SELL       $10.82        927       
    2025-02-21 00:42:19  5     BUY        $10.90        919       
    2025-02-21 00:42:19  6     SELL       $10.93        919       
    2025-02-21 00:42:19  7     BUY        $10.95        915       
    2025-02-21 00:42:19  8     SELL       $10.97        915       
    2025-02-21 00:42:19  9     BUY        $10.81        927       
    2025-02-21 00:42:19  10    SELL       $10.77        927       
    2025-02-21 00:42:19  11    BUY        $10.93        912       
    2025-02-21 00:42:19  12    SELL       $11.05        912       
    2025-02-21 00:42:20  13    BUY        $11.05        910       

    ==============================
