    === Trading Simulation Log ===
    Date: 2025-02-21 00:42:10
    Symbol: WAT
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9650.73
    Profit/Loss: $-349.27 (-3.49%)
    Stop Loss Price: 0.51
    Total Trades: 22
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:42:09  1     BUY        $381.13       26        
    2025-02-21 00:42:09  2     SELL       $379.64       26        
    2025-02-21 00:42:09  3     BUY        $379.12       26        
    2025-02-21 00:42:09  4     SELL       $379.88       26        
    2025-02-21 00:42:09  5     BUY        $373.39       26        
    2025-02-21 00:42:09  6     SELL       $372.79       26        
    2025-02-21 00:42:09  7     BUY        $369.60       26        
    2025-02-21 00:42:09  8     SELL       $368.32       26        
    2025-02-21 00:42:10  9     BUY        $371.85       26        
    2025-02-21 00:42:10  10    SELL       $370.74       26        
    2025-02-21 00:42:10  11    BUY        $372.18       26        
    2025-02-21 00:42:10  12    SELL       $372.12       26        
    2025-02-21 00:42:10  13    BUY        $374.22       26        
    2025-02-21 00:42:10  14    SELL       $373.18       26        
    2025-02-21 00:42:10  15    BUY        $376.09       25        
    2025-02-21 00:42:10  16    SELL       $375.71       25        
    2025-02-21 00:42:10  17    BUY        $376.55       25        
    2025-02-21 00:42:10  18    SELL       $374.89       25        
    2025-02-21 00:42:10  19    BUY        $377.89       25        
    2025-02-21 00:42:10  20    SELL       $380.61       25        
    2025-02-21 00:42:10  21    BUY        $383.03       25        
    2025-02-21 00:42:10  22    SELL       $382.20       25        

    ==============================
