    === Trading Simulation Log ===
    Date: 2025-02-21 00:44:51
    Symbol: WPM
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9877.56
    Profit/Loss: $-122.44 (-1.22%)
    Stop Loss Price: 0.19
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:44:50  1     BUY        $68.64        145       
    2025-02-21 00:44:50  2     SELL       $68.67        145       
    2025-02-21 00:44:50  3     BUY        $69.18        144       
    2025-02-21 00:44:50  4     SELL       $69.18        144       
    2025-02-21 00:44:50  5     BUY        $69.48        143       
    2025-02-21 00:44:50  6     SELL       $69.19        143       
    2025-02-21 00:44:50  7     BUY        $67.61        146       
    2025-02-21 00:44:50  8     SELL       $68.09        146       
    2025-02-21 00:44:50  9     BUY        $69.54        143       
    2025-02-21 00:44:50  10    SELL       $69.74        143       
    2025-02-21 00:44:51  11    BUY        $69.76        142       
    2025-02-21 00:44:51  12    SELL       $69.64        142       
    2025-02-21 00:44:51  13    BUY        $69.79        142       
    2025-02-21 00:44:51  14    SELL       $69.60        142       

    ==============================
