    === Trading Simulation Log ===
    Date: 2025-02-21 00:43:45
    Symbol: X
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9806.95
    Profit/Loss: $-193.05 (-1.93%)
    Stop Loss Price: 0.10
    Total Trades: 20
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:43:45  1     BUY        $38.60        258       
    2025-02-21 00:43:45  2     SELL       $38.47        258       
    2025-02-21 00:43:45  3     BUY        $38.95        255       
    2025-02-21 00:43:45  4     SELL       $38.76        255       
    2025-02-21 00:43:45  5     BUY        $38.26        257       
    2025-02-21 00:43:45  6     SELL       $38.21        257       
    2025-02-21 00:43:45  7     BUY        $38.09        258       
    2025-02-21 00:43:45  8     SELL       $37.99        258       
    2025-02-21 00:43:45  9     BUY        $38.21        256       
    2025-02-21 00:43:45  10    SELL       $38.46        256       
    2025-02-21 00:43:45  11    BUY        $38.26        257       
    2025-02-21 00:43:45  12    SELL       $38.25        257       
    2025-02-21 00:43:45  13    BUY        $38.33        256       
    2025-02-21 00:43:45  14    SELL       $37.96        256       
    2025-02-21 00:43:45  15    BUY        $37.99        255       
    2025-02-21 00:43:45  16    SELL       $37.88        255       
    2025-02-21 00:43:45  17    BUY        $38.15        252       
    2025-02-21 00:43:45  18    SELL       $38.13        252       
    2025-02-21 00:43:45  19    BUY        $38.08        252       
    2025-02-21 00:43:45  20    SELL       $38.85        252       

    ==============================
