
    === Trading Simulation Log ===
    Date: 2025-02-20 01:05:16
    Symbol: ZCAR
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $6688.32
    Profit/Loss: $-3311.68 (-33.12%)
    Stop Loss Price: 0.01
    Total Trades: 98
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $1.13         8844      
2     SELL       $1.12         8844      
3     BUY        $1.13         8754      
4     SELL       $1.11         8754      
5     BUY        $1.13         8588      
6     SELL       $1.11         8588      
7     BUY        $1.14         8344      
8     SELL       $1.17         8344      
9     BUY        $1.20         8159      
10    SELL       $1.18         8159      
11    BUY        $1.15         8319      
12    SELL       $1.14         8319      
13    BUY        $1.16         8159      
14    SELL       $1.22         8159      
15    BUY        $1.24         8043      
16    SELL       $1.22         8043      
17    BUY        $1.25         7834      
18    SELL       $1.24         7834      
19    BUY        $1.25         7756      
20    SELL       $1.27         7756      
21    BUY        $1.27         7740      
22    SELL       $1.30         7740      
23    BUY        $1.30         7736      
24    SELL       $1.39         7736      
25    BUY        $1.40         7667      
26    SELL       $1.37         7667      
27    BUY        $1.38         7597      
28    SELL       $1.41         7597      
29    BUY        $1.41         7583      
30    SELL       $1.39         7583      
31    BUY        $1.37         7685      
32    SELL       $1.35         7685      
33    BUY        $1.37         7560      
34    SELL       $1.35         7560      
35    BUY        $1.37         7458      
36    SELL       $1.35         7458      
37    BUY        $1.40         7177      
38    SELL       $1.36         7177      
39    BUY        $1.38         7033      
40    SELL       $1.42         7033      
41    BUY        $1.42         7019      
42    SELL       $1.39         7019      
43    BUY        $1.42         6856      
44    SELL       $1.39         6856      
45    BUY        $1.42         6698      
46    SELL       $1.40         6698      
47    BUY        $1.42         6603      
48    SELL       $1.40         6603      
49    BUY        $1.42         6496      
50    SELL       $1.40         6496      
51    BUY        $1.43         6346      
52    SELL       $1.42         6346      
53    BUY        $1.43         6288      
54    SELL       $1.46         6288      
55    BUY        $1.48         6190      
56    SELL       $1.49         6190      
57    BUY        $1.48         6218      
58    SELL       $1.47         6218      
59    BUY        $1.51         6040      
60    SELL       $1.53         6040      
61    BUY        $1.58         5855      
62    SELL       $1.57         5855      
63    BUY        $1.58         5788      
64    SELL       $1.58         5788      
65    BUY        $1.58         5775      
66    SELL       $1.56         5775      
67    BUY        $1.60         5618      
68    SELL       $1.58         5618      
69    BUY        $1.63         5417      
70    SELL       $1.62         5417      
71    BUY        $1.65         5308      
72    SELL       $1.64         5308      
73    BUY        $1.62         5361      
74    SELL       $1.58         5361      
75    BUY        $1.60         5280      
76    SELL       $1.57         5280      
77    BUY        $1.46         5664      
78    SELL       $1.68         5664      
79    BUY        $1.69         5620      
80    SELL       $1.68         5620      
81    BUY        $1.65         5693      
82    SELL       $1.63         5693      
83    BUY        $1.67         5547      
84    SELL       $1.66         5547      
85    BUY        $1.66         5534      
86    SELL       $1.64         5534      
87    BUY        $1.66         5456      
88    SELL       $1.64         5456      
89    BUY        $1.63         5461      
90    SELL       $1.32         5461      
91    BUY        $1.16         6197      
92    SELL       $1.13         6197      
93    BUY        $0.92         7590      
94    SELL       $0.91         7590      
95    BUY        $0.92         7456      
96    SELL       $0.91         7456      
97    BUY        $0.92         7360      
98    SELL       $0.91         7360      

    ==============================
    
