    === Trading Simulation Log ===
    Date: 2025-02-21 00:39:37
    Symbol: ZTS
    Period: 5d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9768.00
    Profit/Loss: $-232.00 (-2.32%)
    Stop Loss Price: 0.38
    Total Trades: 14
    Trade History:
    Time                 No.   Action     Price        Shares    
    2025-02-21 00:39:37  1     BUY        $159.89       62        
    2025-02-21 00:39:37  2     SELL       $162.20       62        
    2025-02-21 00:39:37  3     BUY        $165.86       60        
    2025-02-21 00:39:37  4     SELL       $165.37       60        
    2025-02-21 00:39:37  5     BUY        $159.49       63        
    2025-02-21 00:39:37  6     SELL       $159.04       63        
    2025-02-21 00:39:37  7     BUY        $159.70       62        
    2025-02-21 00:39:37  8     SELL       $159.21       62        
    2025-02-21 00:39:37  9     BUY        $159.70       62        
    2025-02-21 00:39:37  10    SELL       $159.32       62        
    2025-02-21 00:39:37  11    BUY        $157.52       62        
    2025-02-21 00:39:37  12    SELL       $156.42       62        
    2025-02-21 00:39:37  13    BUY        $156.48       62        
    2025-02-21 00:39:37  14    SELL       $155.59       62        

    ==============================
